userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (15,10.362085342407227)* (48,9.965320587158203)* (169,9.650407791137695)* (265,9.546226501464844) (53,9.46281623840332)* (136,9.405160903930664)* (324,9.30569076538086) (823,9.236236572265625) (215,9.141225814819336) (107,9.060171127319336)* (560,8.96517562866211) (276,8.934389114379883) (11,8.933578491210938)* (170,8.907422065734863)* (674,8.84797191619873) (1187,8.79801082611084) (279,8.77631950378418) (632,8.71917724609375) (364,8.67740249633789) (300,8.675310134887695)
153: (185,8.027339935302734) (625,7.34533166885376) (147,6.985928535461426) (806,6.981350421905518) (560,6.9420342445373535) (2137,6.8773579597473145) (2779,6.782020092010498) (932,6.710747718811035) (1091,6.652015209197998) (136,6.64774227142334) (1063,6.566373825073242) (1144,6.553778648376465) (2997,6.5418853759765625) (941,6.52597188949585) (512,6.490494251251221) (649,6.421640396118164) (2790,6.370129585266113) (1062,6.324709892272949) (1100,6.282249927520752) (159,6.269136905670166)
154: (15,8.072432518005371)* (159,7.79518985748291) (4,7.371770858764648) (67,7.325559616088867) (560,7.218747138977051)* (265,7.0425214767456055) (215,6.996218681335449) (592,6.979782581329346) (170,6.930384635925293)* (1717,6.8579936027526855) (298,6.851646900177002) (1279,6.754055976867676) (1063,6.741492748260498) (345,6.731950759887695) (230,6.718571186065674) (131,6.71324348449707) (113,6.687310695648193) (875,6.6839399337768555) (142,6.658341407775879) (129,6.653410911560059)
155: (185,8.857746124267578) (106,8.719562530517578)* (48,8.703182220458984) (147,8.691530227661133) (15,8.633135795593262) (159,8.631786346435547) (592,8.46823787689209) (512,8.345181465148926) (167,8.258554458618164) (625,8.170087814331055) (164,8.148500442504883) (1063,8.058975219726562)* (4,8.049459457397461) (169,8.012981414794922) (116,7.9455389976501465) (707,7.94425630569458) (539,7.937562942504883) (1278,7.8054351806640625) (89,7.7461676597595215) (1273,7.726753234863281)
156: (1062,12.166727066040039)* (2609,11.759868621826172)* (896,10.926290512084961) (68,10.77381420135498)* (686,10.769073486328125) (827,10.758222579956055)* (240,10.725238800048828)* (1352,10.569036483764648) (414,10.315740585327148) (2244,10.257122993469238) (3341,10.22984790802002)* (224,10.209025382995605)* (48,10.169965744018555)* (2208,10.107558250427246)* (166,10.089805603027344) (2188,9.962067604064941) (360,9.950113296508789)* (131,9.933018684387207)* (898,9.931755065917969)* (2937,9.839797973632812)*
157: (48,12.679693222045898)* (159,11.887842178344727)* (1192,11.886373519897461)* (312,11.356508255004883) (72,11.218826293945312) (1196,11.188521385192871) (263,11.182465553283691) (1186,11.048201560974121) (1180,10.944442749023438) (823,10.749677658081055)* (952,10.714666366577148) (360,10.673623085021973) (366,10.584896087646484) (169,10.579204559326172)* (707,10.568811416625977)* (237,10.537374496459961)* (875,10.496621131896973) (364,10.393097877502441)* (922,10.33091926574707) (107,10.285972595214844)
158: (185,1.6524345874786377) (625,1.5675686597824097) (592,1.5477709770202637) (512,1.523364782333374) (519,1.5219544172286987) (1273,1.5198358297348022) (560,1.5165843963623047) (539,1.5132529735565186) (707,1.5094013214111328) (15,1.4973132610321045) (1553,1.4747309684753418) (136,1.4665875434875488) (164,1.4621553421020508) (1062,1.4545514583587646) (153,1.4536640644073486) (575,1.449171543121338) (520,1.447593092918396) (163,1.4449105262756348) (1063,1.4390969276428223) (130,1.4366371631622314)
159: (1027,7.3704071044921875) (913,7.359860897064209) (404,7.34011173248291)* (1435,7.250490188598633) (522,7.221023082733154) (758,7.202911376953125) (124,7.196887016296387) (143,7.184580326080322) (102,7.140144348144531) (1055,7.132290363311768) (136,7.11063289642334)* (1278,7.0264997482299805) (539,7.009044647216797) (431,7.003525733947754) (15,6.884052753448486) (130,6.871548652648926)* (1830,6.845449447631836) (428,6.834808349609375) (92,6.828029155731201)* (1042,6.773567199707031)*
160: (285,8.398818969726562) (263,8.299346923828125) (842,8.257091522216797) (258,8.099297523498535) (2423,8.062015533447266) (2561,8.044440269470215) (1192,7.897616386413574) (875,7.888655662536621) (2266,7.8679304122924805) (189,7.781664848327637) (1116,7.758833885192871) (592,7.736812591552734) (2319,7.662021160125732) (13,7.661048412322998) (274,7.636155128479004) (987,7.604170322418213) (312,7.5680646896362305) (159,7.564756393432617) (82,7.558024883270264) (185,7.557106971740723)
161: (512,12.39168930053711) (625,12.028292655944824) (1063,12.004999160766602)* (519,11.505746841430664) (131,11.450868606567383) (2069,11.310529708862305) (169,11.269190788269043) (81,11.201971054077148)* (2131,11.158750534057617) (215,11.156929016113281)* (419,11.135047912597656) (4,11.107613563537598) (2609,11.047755241394043)* (88,11.03940200805664) (2066,11.031351089477539)* (153,10.887840270996094) (575,10.862724304199219)* (823,10.860301971435547) (1058,10.588807106018066) (9,10.544550895690918)*
162: (592,7.554512023925781) (15,7.552779674530029)* (185,7.467811584472656) (130,7.243128299713135)* (1063,7.206197738647461) (625,7.130649566650391) (106,7.004485130310059)* (147,6.997125625610352) (707,6.957048416137695)* (512,6.828327178955078)* (2066,6.804376125335693) (166,6.758313179016113) (159,6.749700546264648) (1100,6.585803985595703)* (153,6.554656028747559) (520,6.509209156036377) (519,6.492459774017334) (1144,6.45962381362915) (116,6.455246925354004) (2609,6.42988395690918)
163: (628,11.850914001464844) (460,11.43215560913086) (60,11.38148307800293)* (650,11.36170768737793) (660,11.288375854492188)* (688,11.26259708404541) (141,11.14388656616211)* (529,11.029536247253418) (428,11.019689559936523) (344,10.956925392150879)* (1435,10.928236961364746)* (899,10.807882308959961) (44,10.676345825195312) (399,10.549690246582031)* (1825,10.413705825805664)* (1510,10.39784049987793)* (626,10.383137702941895) (1063,10.338706970214844)* (481,10.29992389678955)* (1095,10.285150527954102)
164: (81,5.600659370422363) (1207,5.309679985046387) (1201,5.118536472320557) (164,5.096408843994141) (15,5.062333583831787) (265,5.04283332824707) (136,5.039735794067383) (106,5.010036945343018)* (53,4.9654035568237305) (1197,4.9482645988464355) (88,4.933636665344238) (92,4.894630432128906) (364,4.878125190734863) (520,4.8687357902526855) (72,4.868717193603516) (404,4.8130106925964355) (1255,4.779853343963623) (169,4.778450012207031) (87,4.758413314819336) (2396,4.718932151794434)
165: (136,7.0556230545043945) (81,6.846102714538574) (560,6.825387954711914) (106,6.728976249694824) (185,6.657315254211426) (592,6.61260461807251) (95,6.585376262664795) (4,6.535380840301514)* (147,6.5242767333984375) (707,6.521765232086182) (512,6.474113941192627) (366,6.469400405883789) (169,6.465018272399902) (67,6.420719146728516) (215,6.380851745605469) (134,6.2840070724487305)* (1273,6.272977828979492) (131,6.24704647064209) (324,6.211528301239014) (107,6.175656318664551)
166: (159,4.220736503601074) (15,4.105349540710449) (48,4.099188804626465) (167,3.9854471683502197) (215,3.958129405975342) (17,3.787053346633911) (67,3.667926549911499) (276,3.6632065773010254) (265,3.6483871936798096) (81,3.642977476119995) (298,3.6425414085388184) (11,3.6210808753967285) (4,3.6136436462402344) (113,3.6132771968841553) (142,3.574796676635742) (168,3.5714519023895264) (136,3.5526857376098633) (135,3.54305362701416) (823,3.5392751693725586) (560,3.5320310592651367)
167: (625,9.457860946655273) (575,9.352720260620117) (324,9.072025299072266) (459,9.03170394897461) (1091,8.951383590698242) (167,8.917534828186035) (1241,8.791183471679688) (173,8.757457733154297) (185,8.719269752502441) (2997,8.635210037231445) (169,8.605447769165039) (107,8.505938529968262) (697,8.440080642700195) (674,8.249777793884277) (157,8.238306999206543) (539,8.181772232055664)* (1278,8.11160945892334) (1100,8.103901863098145) (215,8.071422576904297) (168,8.05804443359375)
168: (625,11.596088409423828)* (1144,11.115381240844727)* (2137,11.003085136413574) (862,10.874639511108398) (519,10.865602493286133)* (2114,10.638051986694336)* (159,10.550195693969727) (904,10.489707946777344)* (15,10.469006538391113)* (4,10.455625534057617) (419,10.425508499145508) (941,10.414878845214844) (2609,10.37198257446289)* (1790,10.317684173583984) (2026,10.214054107666016) (520,10.173004150390625) (172,10.153207778930664) (523,10.083502769470215)* (2066,10.080434799194336) (343,9.962133407592773)*
169: (592,8.251724243164062)* (15,8.227130889892578) (167,8.203106880187988) (364,7.832554817199707) (1063,7.7857866287231445) (625,7.600512981414795) (520,7.580407619476318) (2066,7.531998157501221) (166,7.468696117401123) (185,7.455738544464111) (226,7.454814434051514) (560,7.411307334899902)* (164,7.3809967041015625) (2609,7.353765964508057) (806,7.334923267364502)* (153,7.312492370605469) (421,7.307778358459473) (159,7.222253799438477)* (1061,7.214788913726807) (707,7.191171646118164)
170: (48,6.382748603820801) (142,6.27732515335083)* (72,6.276944637298584) (263,6.035160064697266) (269,5.995258331298828) (82,5.98602294921875) (16,5.966621398925781) (185,5.947514057159424) (159,5.945357322692871) (279,5.830853462219238) (189,5.817714691162109) (2328,5.812780857086182) (13,5.742635250091553) (952,5.732368469238281) (14,5.721597671508789) (54,5.695914268493652) (553,5.670760154724121) (670,5.661197185516357) (312,5.6481218338012695) (669,5.632307052612305)
171: (15,4.336679458618164) (185,4.296569347381592) (459,4.232734680175781) (136,4.232378959655762) (2096,4.230624198913574) (2137,4.196077346801758) (130,4.086153984069824) (941,4.049626350402832) (1091,4.045283317565918) (2997,4.041261672973633) (1063,4.038258075714111) (1062,3.974209785461426) (625,3.963038682937622) (592,3.9469752311706543) (1144,3.946683406829834) (862,3.9368224143981934) (628,3.9357850551605225) (575,3.911602258682251) (2114,3.8826732635498047) (159,3.872429132461548)
172: (707,2.3350729942321777) (779,2.2086739540100098) (911,2.1610302925109863) (1518,2.1431386470794678) (2026,2.11385440826416) (1260,2.107576608657837) (1061,2.0923104286193848) (164,2.0845582485198975) (990,2.070763349533081) (130,2.056216239929199) (2615,2.0555193424224854) (15,2.0462646484375) (915,2.0461907386779785) (81,2.044785976409912) (88,2.0145928859710693) (11,2.0093626976013184) (186,2.0060195922851562) (18,1.990333080291748) (2066,1.9856661558151245) (855,1.9519122838974)
173: (671,16.96631622314453)* (735,16.239303588867188) (2085,16.2342529296875) (2072,15.922874450683594) (1847,15.233222007751465)* (415,14.367961883544922)* (459,14.12083625793457)* (3551,13.96234130859375) (210,13.938730239868164)* (2144,13.936565399169922)* (3555,13.645118713378906)* (1893,13.602617263793945)* (986,13.557815551757812)* (5159,13.537132263183594)* (773,13.418502807617188) (672,13.176528930664062) (5487,13.12421989440918) (1377,13.112801551818848)* (4709,13.043363571166992)* (5139,12.830578804016113)*
174: (354,13.485713005065918) (48,13.119501113891602)* (50,12.336628913879395) (367,12.224879264831543)* (2119,12.131738662719727)* (1831,11.969053268432617) (674,11.816793441772461)* (274,11.809953689575195) (167,11.791641235351562) (224,11.764910697937012) (676,11.739005088806152) (54,11.57151985168457)* (2147,11.490102767944336) (2266,11.463196754455566)* (221,11.371060371398926)* (2284,11.345943450927734)* (3389,11.320137023925781) (273,11.301462173461914) (285,11.293949127197266)* (173,11.260248184204102)*
175: (133,21.69430923461914)* (150,19.13823890686035)* (2664,17.635347366333008) (103,16.68423080444336)* (899,16.662750244140625) (2755,16.511550903320312)* (1626,16.294464111328125) (559,16.243555068969727) (970,16.2121524810791)* (1063,16.186084747314453) (763,16.183534622192383)* (761,15.901636123657227) (1949,15.88675594329834)* (1431,15.608613014221191)* (81,15.604949951171875)* (4374,15.494285583496094) (1074,15.447469711303711) (2151,15.419662475585938) (2346,15.413497924804688) (106,15.357110977172852)
176: (1553,9.118501663208008) (589,8.844817161560059)* (2975,8.642232894897461) (2102,8.55943489074707) (6090,8.513664245605469) (1017,8.2759370803833) (575,8.22032642364502) (5011,8.192359924316406) (802,8.013270378112793) (1767,7.890779495239258) (2069,7.887703895568848)* (4306,7.850471019744873) (69,7.808786392211914) (16,7.801085472106934) (1466,7.761565208435059) (2328,7.761257648468018) (555,7.678828716278076) (806,7.650823593139648) (1051,7.649314880371094) (5852,7.61364221572876)
177: (15,9.23299789428711)* (167,9.150701522827148)* (159,8.600358963012695) (136,8.19784927368164) (130,8.166089057922363) (48,8.095447540283203)* (1063,8.066903114318848) (215,7.949326038360596) (185,7.949294090270996) (169,7.881886959075928) (0,7.820253372192383) (625,7.76513147354126) (6,7.693103790283203) (67,7.682522773742676) (674,7.631780624389648)* (139,7.601173400878906)* (162,7.5704522132873535) (17,7.5697922706604) (164,7.560349464416504) (147,7.5061354637146)
178: (159,4.185508728027344) (15,3.9126405715942383) (697,3.903714179992676) (81,3.7986795902252197) (48,3.7878966331481934) (167,3.7746453285217285) (1187,3.6440045833587646) (493,3.5715999603271484) (404,3.567638874053955) (68,3.566707134246826) (164,3.5514540672302246) (170,3.5464930534362793) (101,3.528905153274536) (1243,3.520292282104492) (419,3.4928369522094727) (67,3.4798078536987305) (385,3.451627731323242) (71,3.4461874961853027) (986,3.443333148956299) (707,3.4199719429016113)
179: (4055,12.762858390808105)* (431,12.608896255493164) (758,12.472074508666992)* (1278,12.0242338180542)* (913,11.862749099731445) (3151,11.666948318481445)* (1074,11.660470962524414)* (2188,11.59524154663086) (889,11.510069847106934)* (0,11.468931198120117) (524,11.43903923034668) (833,11.290942192077637) (1204,11.247614860534668) (1993,11.23656940460205)* (2102,11.202251434326172) (500,11.152752876281738) (978,10.980165481567383) (580,10.968730926513672) (1940,10.903496742248535) (3802,10.876351356506348)*
180: (802,14.922870635986328) (842,14.490214347839355) (592,13.576399803161621) (164,13.301387786865234) (670,13.032503128051758) (2096,12.928986549377441)* (625,12.812867164611816) (2188,12.752214431762695) (2935,12.748556137084961) (1116,12.317180633544922) (81,12.124786376953125) (3824,12.048063278198242) (523,12.024148941040039) (1062,11.97153091430664) (2328,11.887872695922852) (87,11.849790573120117) (2609,11.820903778076172) (1040,11.81312370300293) (3397,11.780983924865723) (700,11.770601272583008)
181: (15,8.901689529418945) (159,8.849711418151855) (215,8.14315414428711) (136,8.06956672668457) (67,7.960336208343506) (312,7.912300109863281) (560,7.8829731941223145) (185,7.877252101898193) (342,7.736814498901367) (131,7.71481466293335) (107,7.71144962310791) (434,7.690217971801758) (81,7.68428897857666) (142,7.67088508605957) (113,7.665443420410156) (135,7.61544132232666) (823,7.611200332641602) (129,7.60508394241333) (54,7.600812911987305)* (366,7.573780059814453)
182: (2137,13.188453674316406)* (2814,12.256671905517578) (3915,12.175636291503906) (3204,11.653787612915039) (1790,11.551919937133789) (3655,11.340730667114258) (166,11.288888931274414) (2120,11.166556358337402) (15107,11.130306243896484) (1088,10.906074523925781) (2609,10.86525821685791) (628,10.70831298828125) (3114,10.639300346374512) (2779,10.556493759155273) (200,10.541999816894531) (3280,10.535255432128906) (185,10.530125617980957) (4074,10.469128608703613) (650,10.463724136352539) (3916,10.455329895019531)
184: (18979,14.372335433959961) (28312,13.358469009399414) (10861,12.938671112060547)* (367,11.938034057617188) (719,11.672877311706543)* (178,11.360529899597168) (31239,11.342607498168945) (37636,11.261543273925781) (134,11.133438110351562) (1392,11.05899715423584) (1278,10.855805397033691) (162,10.82377815246582) (5160,10.7836275100708)* (889,10.74587345123291)* (5683,10.596120834350586) (167,10.527764320373535) (1072,10.408267974853516)* (1243,10.40505599975586) (649,10.397509574890137) (298,10.389542579650879)
185: (625,9.482664108276367) (592,9.345733642578125) (48,9.201395034790039)* (1063,8.93531322479248) (1553,8.856019973754883) (106,8.847360610961914) (649,8.804595947265625) (555,8.693836212158203) (135,8.683216094970703)* (130,8.618796348571777) (4,8.570352554321289)* (1224,8.506563186645508) (539,8.497903823852539) (113,8.443422317504883) (519,8.43948745727539) (932,8.425629615783691) (512,8.374509811401367) (1144,8.365753173828125) (139,8.327131271362305) (1091,8.323189735412598)
186: (130,11.495603561401367)* (1061,11.26414680480957) (0,10.84907054901123) (167,10.683743476867676) (889,10.443612098693848) (104,10.219348907470703)* (1790,10.134383201599121) (81,10.087392807006836) (421,10.069774627685547) (419,10.001373291015625) (425,9.892132759094238)* (746,9.885174751281738) (226,9.707430839538574) (1826,9.665254592895508) (1260,9.58958625793457) (528,9.560808181762695)* (560,9.384918212890625)* (440,9.376533508300781) (818,9.280437469482422) (3206,9.280134201049805)
187: (159,9.445056915283203) (51,9.040594100952148) (131,9.009695053100586) (168,8.914499282836914) (129,8.800765991210938) (1186,8.754570007324219) (169,8.740533828735352) (136,8.717126846313477) (823,8.714877128601074) (189,8.711270332336426) (113,8.652628898620605) (15,8.603569030761719) (374,8.56782054901123) (670,8.536556243896484) (185,8.483793258666992) (553,8.404809951782227) (560,8.396759033203125) (158,8.388561248779297) (354,8.360980033874512)* (237,8.35636043548584)
188: (15,11.772416114807129) (130,11.286705017089844) (167,11.172918319702148) (2066,11.163244247436523)* (855,11.07193660736084) (88,11.016012191772461)* (81,10.881011962890625)* (1289,10.769085884094238) (493,10.6249361038208)* (343,10.608931541442871) (779,10.569149017333984) (1759,10.525113105773926) (67,10.444234848022461)* (810,10.376620292663574)* (2653,10.281328201293945) (423,10.279613494873047) (85,10.265356063842773) (990,10.253358840942383) (952,10.252634048461914) (707,10.16989803314209)
189: (592,8.792952537536621) (185,8.652292251586914) (806,8.403820991516113) (560,7.891312599182129) (2779,7.812933921813965) (2137,7.706753730773926) (1100,7.682093620300293) (147,7.677781105041504) (1553,7.609081268310547) (575,7.569810390472412)* (941,7.471918106079102) (2609,7.458345890045166) (1062,7.447047233581543) (2997,7.415574073791504) (1063,7.404055118560791) (649,7.3810906410217285) (628,7.338190078735352)* (2143,7.192216873168945) (166,7.132674217224121) (2131,7.084205150604248)
190: (1553,17.557252883911133)* (6058,15.953991889953613)* (5006,15.208429336547852) (2485,15.041481018066406)* (529,14.954218864440918)* (1063,14.891082763671875)* (3336,14.448580741882324)* (903,14.40399169921875) (1629,14.278533935546875)* (164,14.167984962463379) (1055,14.001729965209961) (258,13.977574348449707) (1207,13.83706283569336) (551,13.728334426879883) (1773,13.45755386352539) (188,13.358531951904297) (486,13.171088218688965)* (913,13.156477928161621) (182,13.009271621704102) (2320,12.950091361999512)*
191: (185,4.731660842895508) (592,4.55112361907959) (1273,4.4985151290893555) (560,4.426934719085693) (512,4.357331275939941) (625,4.353878021240234) (806,4.353725910186768) (147,4.20236873626709) (932,4.190096855163574) (2997,4.1782732009887695) (1062,4.156982421875) (575,4.13801383972168) (519,4.055344581604004) (2131,4.0404229164123535) (190,4.029212951660156) (159,4.02468204498291) (1553,3.950870990753174) (2779,3.9495983123779297) (862,3.94933819770813) (686,3.946512222290039)
192: (625,6.596813201904297) (185,6.558652400970459) (560,6.311760425567627) (136,6.042503356933594) (15,6.030655860900879) (48,5.9534759521484375) (519,5.814029693603516) (575,5.794614791870117) (941,5.774665832519531) (1553,5.766025543212891) (159,5.759477138519287) (166,5.75543212890625) (2779,5.717594146728516) (265,5.715541839599609) (1100,5.698602676391602) (1144,5.697038173675537) (147,5.666851043701172) (1063,5.638988494873047) (169,5.625080585479736) (167,5.5545806884765625)
193: (3310,12.604452133178711)* (2594,11.307961463928223) (780,10.780985832214355) (1279,10.690661430358887) (1814,10.632433891296387) (744,10.608285903930664) (345,10.498769760131836) (8853,10.448482513427734) (3580,10.195124626159668) (4397,10.1533203125) (778,10.148720741271973) (2746,10.1441650390625) (1265,10.143537521362305)* (4292,10.117016792297363) (1774,10.105965614318848) (8829,10.015260696411133) (1050,9.77257251739502) (777,9.712715148925781) (1072,9.70412540435791)* (452,9.678606033325195)
194: (592,5.450361251831055)* (15,5.364141941070557) (560,5.191241264343262) (167,5.101439476013184) (625,5.09505558013916) (185,4.996103763580322) (130,4.985817909240723)* (136,4.922725200653076) (1144,4.915067672729492) (106,4.755649566650391) (147,4.697371482849121) (1063,4.65632438659668) (520,4.590785503387451) (159,4.570505142211914) (67,4.549978256225586) (48,4.5102152824401855) (81,4.46095609664917) (806,4.4600510597229) (707,4.436808109283447) (2066,4.421316146850586)
195: (15,6.442699432373047) (512,6.307007312774658) (185,6.223692893981934) (136,6.009248733520508) (48,5.998703956604004) (130,5.983088493347168) (1144,5.950214385986328) (159,5.897866725921631) (862,5.849186897277832) (131,5.824973106384277) (493,5.633246421813965) (67,5.61563777923584) (592,5.559070587158203) (560,5.548910617828369) (519,5.511313438415527) (1273,5.450708389282227) (87,5.42572546005249) (1022,5.395913124084473) (147,5.365516662597656) (169,5.312087059020996)
196: (263,5.00032377243042) (15,4.553982734680176) (48,4.502959251403809) (1192,4.440412521362305) (82,4.416841506958008) (842,4.407398700714111) (113,4.40116548538208) (189,4.382676601409912) (823,4.36728572845459) (158,4.3637800216674805) (1812,4.320859432220459) (167,4.312925338745117) (670,4.303500652313232) (354,4.299363613128662) (159,4.271040916442871) (67,4.242498397827148) (324,4.240612030029297) (312,4.222431182861328) (2284,4.215738296508789) (107,4.208571434020996)
197: (106,11.235876083374023) (130,10.905826568603516)* (560,10.199943542480469)* (116,10.14975357055664)* (810,10.083650588989258)* (169,9.992462158203125)* (48,9.964938163757324) (539,9.909890174865723) (185,9.905693054199219)* (818,9.904279708862305) (592,9.891105651855469)* (385,9.82999324798584)* (512,9.796067237854004) (707,9.775824546813965) (173,9.576759338378906) (2066,9.576075553894043) (625,9.527475357055664) (398,9.504722595214844) (222,9.418174743652344)* (519,9.382487297058105)
198: (15,8.199122428894043) (167,8.182830810546875) (130,7.8947553634643555) (81,7.8684563636779785) (159,7.653961658477783) (810,7.545072555541992) (364,7.486434459686279) (136,7.37800407409668) (520,7.341141700744629) (2066,7.320200443267822) (721,7.2799177169799805) (818,7.257771015167236) (1336,7.229206085205078) (560,7.163884162902832) (207,7.155063629150391) (4,7.15034818649292) (48,7.147443771362305) (164,7.144020080566406) (226,7.139998912811279) (324,7.132015228271484)
199: (592,4.556584358215332) (185,4.5391621589660645) (2779,4.257870674133301) (806,4.208647727966309) (2137,4.171838760375977) (15,4.1660237312316895) (941,4.1493072509765625) (159,4.145186901092529) (48,4.062700271606445) (625,4.06151008605957) (147,4.048003196716309) (167,4.02841854095459) (1144,3.99721097946167) (136,3.9790761470794678) (4,3.903019428253174) (72,3.890953540802002) (932,3.8903443813323975) (169,3.8452558517456055) (3280,3.820359230041504) (2997,3.816572427749634)
200: (870,13.737045288085938)* (2883,13.228582382202148) (267,13.203850746154785)* (4175,13.171150207519531) (69,13.02877140045166)* (2423,12.911338806152344) (8180,12.859124183654785)* (2757,12.7294282913208) (4874,12.715775489807129) (86,12.62343692779541)* (4275,12.609443664550781) (387,12.49846363067627)* (2024,12.434972763061523)* (1221,12.384273529052734) (2975,12.332124710083008) (1181,12.260910034179688)* (4679,12.187152862548828)* (88,12.18191909790039)* (63,12.02859115600586)* (166,12.010746002197266)
201: (592,3.3487706184387207) (2779,3.308014392852783) (185,3.2950122356414795) (560,3.247694969177246) (1273,3.1635913848876953) (512,3.1447672843933105) (806,3.138909339904785) (166,3.1254892349243164) (952,3.0881729125976562)* (2069,3.0812325477600098) (2137,3.0735180377960205) (147,3.062459707260132) (2096,3.0596494674682617) (932,3.0431251525878906) (1116,3.0396039485931396) (15,3.019099712371826) (2066,2.9957690238952637) (3344,2.973694086074829) (159,2.9726812839508057) (707,2.9678826332092285)
202: (159,10.236526489257812)* (15,10.147954940795898) (48,10.025796890258789)* (298,9.54892635345459) (215,9.377237319946289)* (810,9.336141586303711)* (1336,9.209715843200684)* (207,9.165767669677734) (364,9.118548393249512) (0,9.082235336303711) (222,9.055387496948242) (818,9.02577018737793) (2119,9.024270057678223) (560,9.020038604736328) (162,8.970178604125977)* (721,8.879535675048828) (95,8.849346160888672) (81,8.846195220947266)* (707,8.82650375366211) (1281,8.777045249938965)*
203: (592,8.055182456970215) (159,7.609837532043457) (2066,7.408089637756348) (130,7.257589817047119) (166,7.088354587554932) (512,6.902324676513672) (1790,6.851828575134277) (806,6.820997714996338) (324,6.73341178894043) (1063,6.732423305511475) (17,6.705102920532227) (2609,6.693476676940918) (136,6.683364391326904) (164,6.683268070220947) (185,6.683025360107422) (419,6.587616920471191) (215,6.5711350440979) (1273,6.550328254699707) (2137,6.548229694366455) (364,6.52630615234375)
204: (4,2.0976850986480713) (342,2.049262523651123) (1279,1.970717430114746) (810,1.9349634647369385) (1814,1.930620789527893) (167,1.9078459739685059) (8,1.885843276977539) (2077,1.8652329444885254) (0,1.8564364910125732) (421,1.8525118827819824) (345,1.8499207496643066) (48,1.8458760976791382) (226,1.8437581062316895) (434,1.8328604698181152) (161,1.8269944190979004) (205,1.7945914268493652) (312,1.7650786638259888) (719,1.7610540390014648) (716,1.7578928470611572) (15,1.7576403617858887)
205: (185,8.853189468383789) (592,8.682106971740723) (159,8.629034996032715) (560,8.352174758911133)* (167,8.177885055541992) (48,8.162095069885254)* (169,7.737208843231201) (707,7.706981182098389) (1063,7.665172100067139) (215,7.579768180847168) (168,7.54835844039917) (932,7.485104560852051) (686,7.479925632476807) (131,7.468683242797852) (190,7.422563076019287)* (823,7.420190334320068) (806,7.405839920043945) (4,7.3803606033325195) (575,7.364083766937256) (1062,7.318088531494141)
206: (1273,11.458658218383789)* (592,10.649445533752441)* (2066,10.569068908691406) (699,10.406975746154785)* (1342,10.366851806640625) (164,10.324591636657715)* (1891,10.209478378295898) (1058,10.129447937011719) (1061,9.908323287963867)* (2188,9.817375183105469)* (904,9.767570495605469) (106,9.678646087646484)* (186,9.605300903320312) (625,9.601607322692871)* (514,9.595486640930176) (2609,9.588882446289062) (1955,9.554940223693848)* (263,9.52324390411377)* (136,9.510619163513184)* (519,9.502847671508789)*
207: (167,9.32921028137207)* (169,8.576543807983398)* (592,8.42183780670166) (107,8.405879974365234) (136,8.399959564208984) (131,8.385398864746094) (560,8.298394203186035) (823,8.272001266479492)* (324,8.247097969055176) (81,8.169509887695312) (17,8.139093399047852) (130,8.117849349975586) (113,8.10053825378418)* (298,8.066713333129883) (312,8.019147872924805) (512,7.9361772537231445) (371,7.927191257476807) (364,7.854373931884766) (707,7.829923629760742) (922,7.794888496398926)
208: (1063,8.775066375732422)* (130,8.680765151977539) (592,8.631709098815918) (15,8.60132122039795) (106,8.530763626098633) (625,8.511176109313965) (136,8.387920379638672) (2066,8.176857948303223) (1278,8.068602561950684) (147,7.97266960144043) (628,7.879100799560547) (913,7.856389045715332) (164,7.747212886810303) (1267,7.549332618713379) (519,7.538680076599121) (1100,7.530493259429932) (153,7.5099406242370605) (1144,7.497647285461426) (143,7.495655059814453) (1061,7.4174041748046875)
211: (237,14.944249153137207)* (4,14.87837028503418)* (131,14.207538604736328)* (439,14.157207489013672)* (553,13.875664710998535)* (34,13.868986129760742)* (276,13.725442886352539)* (0,13.714539527893066)* (823,13.672134399414062)* (2119,13.606249809265137)* (129,13.222203254699707)* (665,13.1055269241333)* (668,13.103370666503906) (84,13.072879791259766)* (382,12.969085693359375)* (139,12.840971946716309)* (269,12.839914321899414)* (670,12.770469665527344)* (226,12.715800285339355)* (388,12.632533073425293)*
212: (1977,12.510893821716309) (1250,11.98227596282959) (459,11.167776107788086)* (3662,11.166316986083984) (345,11.022867202758789)* (5704,10.910005569458008) (3637,10.857038497924805)* (312,10.847166061401367) (81,10.760714530944824) (2175,10.676554679870605)* (1894,10.634769439697266) (95,10.553924560546875)* (3622,10.534818649291992) (1102,10.517853736877441)* (450,10.424934387207031) (8470,10.303926467895508)* (134,10.298095703125) (368,10.19588851928711) (2845,10.183198928833008) (2905,10.105070114135742)
214: (0,10.550331115722656)* (364,10.253161430358887)* (1826,9.929059982299805) (167,9.91324520111084) (2148,9.85633659362793)* (685,9.817169189453125) (226,9.691271781921387) (420,9.568778991699219) (704,9.55147933959961) (4122,9.526294708251953)* (1322,9.517921447753906) (385,9.442415237426758)* (207,9.356597900390625) (683,9.354387283325195)* (1949,9.341339111328125) (205,9.32240104675293)* (969,9.319231986999512) (3996,9.206766128540039) (444,9.157992362976074) (423,9.080888748168945)
