userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (48,7.365416526794434)* (265,7.360276222229004) (67,7.266369819641113)* (276,7.029028415679932) (215,6.70261812210083) (173,6.516787528991699)* (279,6.484038352966309) (13,6.454805374145508)* (107,6.419512748718262)* (674,6.399425029754639) (262,6.393319129943848) (324,6.333438396453857) (115,5.958998680114746)* (371,5.950071334838867) (300,5.938168525695801) (632,5.914044380187988) (440,5.664477348327637) (560,5.579702377319336) (82,5.53973388671875)* (8,5.510591506958008)*
816: (575,8.063207626342773)* (1103,7.991529941558838)* (200,7.640901565551758) (1062,7.459173202514648) (2102,7.378419876098633) (618,7.358613967895508) (2143,7.330870151519775) (660,7.176671028137207) (1116,7.123797416687012)* (1099,7.110427379608154) (2837,7.084498405456543) (3381,7.08308219909668)* (3344,6.974576950073242) (560,6.823070526123047) (626,6.760823726654053) (4096,6.69338321685791) (1629,6.635209560394287) (2973,6.623958587646484) (153,6.6028289794921875) (7069,6.579739570617676)
818: (15,3.273573637008667) (4,2.665778636932373) (560,2.3345305919647217) (167,2.291245937347412) (67,2.259392261505127) (592,2.2357940673828125) (131,2.2251148223876953) (147,2.221773386001587) (48,2.1439812183380127) (185,2.05485463142395) (512,2.0429747104644775) (130,2.042717933654785) (11,2.019949436187744) (159,2.016569137573242) (493,1.9783754348754883) (419,1.9661720991134644) (215,1.952528476715088) (168,1.9172344207763672)* (153,1.8747692108154297) (366,1.8713246583938599)
819: (0,1.6592438220977783) (2,1.2464617490768433) (5,0.830702543258667) (701,0.7800750136375427) (59,0.7705315351486206)* (6,0.745698094367981) (1183,0.6892986297607422)* (51,0.6491321325302124) (4,0.6323076486587524) (8,0.6107391119003296) (161,0.5702849626541138) (203,0.5613842010498047) (34,0.5559653639793396) (205,0.5532801151275635) (112,0.5487158298492432)* (344,0.5330846309661865) (1279,0.5195719599723816) (716,0.5172690153121948) (176,0.510658860206604) (23,0.5094530582427979)
820: (8,8.593689918518066)* (366,8.27658462524414)* (298,7.77045202255249)* (259,7.574197769165039) (158,7.3844194412231445) (63,7.303342819213867) (207,7.080955505371094)* (922,6.999687671661377) (1243,6.953082084655762)* (434,6.873442649841309) (1195,6.86858606338501) (3389,6.773118019104004) (2627,6.725353240966797)* (222,6.709724426269531) (680,6.693678379058838) (673,6.547462463378906) (373,6.33909273147583) (3131,6.296443939208984) (68,6.260567665100098) (1459,6.165219306945801)
821: (170,7.060794353485107) (147,6.84719181060791)* (130,6.824459552764893) (142,6.776346206665039)* (135,6.76893424987793)* (164,6.645975112915039)* (87,6.545106887817383)* (669,6.377748489379883) (1242,6.343578338623047) (169,6.338588714599609)* (360,6.315008163452148)* (312,6.314023494720459) (875,6.297393321990967) (2066,6.256302833557129) (3346,6.250000476837158) (1196,6.224646091461182) (2,6.1791462898254395) (806,6.1624979972839355) (2069,6.154518127441406) (211,5.998704433441162)
822: (15,1.7311537265777588) (592,1.613237977027893) (941,1.5750353336334229) (13,1.4854605197906494) (168,1.4314173460006714) (6703,1.3780593872070312) (72,1.3662126064300537) (806,1.3631105422973633) (190,1.3600127696990967) (131,1.3511769771575928) (2997,1.3040649890899658) (1144,1.2888908386230469) (2131,1.2630419731140137) (625,1.25844407081604) (215,1.2519841194152832) (101,1.2299846410751343) (9309,1.2151906490325928) (922,1.2011135816574097) (2779,1.191321611404419) (374,1.1903342008590698)
823: (560,1.140334129333496) (592,1.1269071102142334) (185,1.0946848392486572) (512,0.9612472057342529) (153,0.9575377106666565) (166,0.9330575466156006) (539,0.9299553632736206) (136,0.9220802783966064) (164,0.921169638633728) (523,0.9164931774139404) (519,0.887910008430481) (575,0.8831484317779541) (1063,0.8772618770599365) (147,0.8410214185714722) (559,0.829763650894165) (555,0.8140578269958496) (1062,0.8136860728263855) (1553,0.8132801055908203) (625,0.7883238792419434) (707,0.7850606441497803)
824: (2072,9.980834007263184) (185,9.368326187133789)* (1863,9.324440002441406)* (15,9.177693367004395)* (2137,8.93181324005127)* (5314,8.73823070526123) (642,8.587563514709473) (1144,8.097039222717285) (12065,8.024190902709961)* (2605,7.99780797958374)* (4732,7.99160623550415)* (3491,7.769308090209961) (5428,7.6546783447265625) (28272,7.601544380187988) (3548,7.455434322357178)* (3034,7.413880348205566)* (2077,7.397451877593994)* (9745,7.307292461395264) (1851,7.272197723388672) (3350,7.263751983642578)
825: (4,9.864036560058594) (15,7.349175453186035)* (48,6.0548858642578125) (168,5.6233296394348145)* (434,5.448514938354492)* (136,5.153661727905273)* (1180,5.00927734375) (147,4.815767765045166) (11,4.726238250732422) (107,4.701935768127441) (2069,4.701681137084961) (862,4.693504333496094) (493,4.6822075843811035) (366,4.674271583557129) (159,4.597639083862305) (952,4.486268997192383)* (54,4.459464073181152) (1972,4.4134697914123535) (1192,4.381465911865234) (592,4.372002601623535)
826: (11,11.25019645690918)* (670,11.017139434814453)* (875,10.822320938110352)* (18,10.589306831359863) (263,9.500926971435547)* (848,9.480377197265625)* (87,9.253639221191406)* (842,8.984623908996582)* (1201,8.464616775512695) (661,8.436513900756836) (115,8.166949272155762)* (2398,8.138492584228516) (317,8.10673999786377) (3448,8.016350746154785) (14,7.854896068572998) (1255,7.80324649810791) (382,7.798282623291016)* (240,7.771847724914551)* (932,7.738925933837891)* (82,7.727306365966797)
827: (560,8.170506477355957) (592,8.027557373046875) (130,7.857831954956055)* (1063,7.694443225860596) (153,7.332289695739746)* (913,7.322836875915527)* (2,7.115365028381348) (2609,6.966705799102783) (431,6.862910270690918) (541,6.862359523773193) (625,6.852339744567871) (0,6.65727424621582) (1629,6.5966620445251465) (1144,6.591095447540283) (528,6.515287399291992)* (555,6.494534969329834) (1058,6.477479934692383) (1298,6.444732189178467)* (1100,6.408014297485352) (3307,6.369699478149414)*
828: (592,10.49598217010498)* (53,8.618141174316406)* (159,8.077325820922852) (123,7.897443771362305)* (156,7.769243240356445) (16,7.709751129150391) (67,7.6748223304748535) (80,7.484582424163818)* (170,7.116100788116455) (11,7.093772888183594) (640,7.077960014343262)* (167,6.921851634979248) (520,6.9146318435668945)* (309,6.913116931915283) (168,6.910233497619629) (101,6.88977575302124) (90,6.787343978881836) (119,6.757295608520508)* (190,6.626256465911865)* (33,6.519611835479736)
829: (4,8.866619110107422) (48,5.838352203369141) (136,5.472288131713867)* (131,5.263262748718262) (15,5.229375839233398) (1279,4.97764778137207) (434,4.962512969970703) (67,4.909328937530518) (345,4.882741928100586) (167,4.741501331329346) (329,4.616771697998047) (11,4.479671001434326) (342,4.386624336242676) (1273,4.371400833129883) (147,4.209202766418457) (130,4.144313812255859) (159,4.099603652954102) (312,4.080056190490723) (168,4.066834449768066) (2077,4.057106971740723)
830: (670,2.0511107444763184) (2220,1.8907020092010498)* (189,1.792711853981018) (54,1.7563129663467407) (13,1.6899595260620117) (14,1.683763027191162) (263,1.6162664890289307) (312,1.586632490158081) (1116,1.5859224796295166) (237,1.5551326274871826) (764,1.5540897846221924) (269,1.5301549434661865) (274,1.5285913944244385) (82,1.5179996490478516) (2328,1.5119822025299072) (842,1.4975595474243164) (174,1.4950335025787354) (1172,1.4905778169631958) (1186,1.4888960123062134) (158,1.4796972274780273)
831: (4,6.471675395965576) (48,6.263484001159668) (67,5.855144500732422) (11,5.804240703582764) (87,5.763278961181641) (0,5.72473669052124) (167,5.69587516784668) (512,5.256051063537598) (159,5.188388347625732) (130,5.134925365447998) (519,5.12662410736084)* (1273,5.004755020141602) (81,4.934966087341309) (89,4.770188331604004) (8,4.769698619842529) (493,4.677276611328125) (95,4.625588893890381) (875,4.62550163269043) (862,4.598794937133789) (9,4.566514015197754)
832: (849,11.197347640991211)* (116,9.86151123046875)* (1251,9.571648597717285)* (239,9.083667755126953) (9,9.057209968566895) (983,8.931899070739746)* (1859,8.915095329284668)* (177,8.876449584960938)* (1816,8.854703903198242)* (686,8.78125) (865,8.69664192199707)* (2058,8.688490867614746) (68,8.681360244750977)* (845,8.678884506225586)* (124,8.667593955993652)* (2722,8.659514427185059) (3232,8.652741432189941)* (4728,8.54106616973877) (369,8.527464866638184) (1243,8.50115966796875)*
833: (15,10.121004104614258) (6254,8.333191871643066) (3,7.965837478637695) (6987,7.483004570007324)* (88,7.460849761962891) (2423,7.372535228729248) (6305,7.311956882476807) (2898,7.0699849128723145) (233,7.059648513793945)* (949,7.052730560302734) (6989,7.011307239532471)* (2238,6.9595489501953125) (2237,6.950697422027588) (6503,6.689449310302734) (3448,6.680680751800537) (348,6.643522262573242) (6159,6.501102447509766) (9170,6.49205207824707) (2236,6.458517074584961) (661,6.440361976623535)*
834: (2137,11.24299144744873)* (18,10.19151782989502)* (0,10.1763334274292)* (3266,9.552186965942383)* (1196,9.298306465148926)* (1,9.192007064819336)* (1144,9.126619338989258)* (3350,9.096295356750488)* (642,8.972875595092773) (2171,8.95327377319336)* (3892,8.675891876220703)* (2615,8.656919479370117)* (3347,8.535530090332031)* (1321,8.5167236328125)* (9,8.509126663208008)* (3505,8.436798095703125) (3977,8.21500015258789)* (343,8.178913116455078)* (312,8.142809867858887)* (3548,8.113332748413086)*
835: (1689,8.479347229003906) (1144,8.264270782470703)* (6703,8.051055908203125) (1103,8.032376289367676) (1099,7.821774482727051)* (1626,7.592215061187744) (48,7.543848991394043)* (1102,7.267439842224121) (626,7.165007591247559) (1682,6.920788288116455) (3358,6.891729354858398) (2141,6.890130996704102)* (200,6.736472129821777) (2779,6.702484130859375) (2199,6.446764945983887) (9309,6.343908309936523) (582,6.3356828689575195) (658,6.231845378875732)* (3280,5.88693904876709) (2132,5.876962184906006)
836: (0,2.119584083557129) (11,1.9283955097198486) (9,1.8258132934570312) (18,1.6925420761108398) (413,1.668644905090332) (425,1.6291941404342651) (81,1.6070550680160522) (721,1.5886845588684082) (186,1.5690133571624756) (640,1.5677804946899414) (94,1.5656318664550781) (85,1.5441279411315918) (17,1.5061450004577637) (1088,1.4852449893951416) (1856,1.475341558456421) (570,1.4638044834136963) (2814,1.3997739553451538) (1202,1.3831483125686646) (1093,1.3789739608764648) (731,1.3717186450958252)
837: (0,1.207080364227295) (15,0.9906728267669678) (2,0.9725878238677979) (1279,0.956881046295166) (434,0.8910727500915527)* (345,0.87062007188797) (48,0.8441543579101562)* (8,0.8145864009857178) (329,0.7765400409698486) (2077,0.753555417060852) (167,0.741417646408081)* (342,0.7363418340682983) (11,0.7147924900054932)* (1814,0.6633296012878418)* (51,0.6368938684463501) (107,0.6294029355049133)* (5,0.6213185787200928)* (312,0.6106247305870056)* (1832,0.6103553771972656) (716,0.5965594053268433)*
838: (740,9.183805465698242)* (5158,9.14193344116211)* (1813,9.047714233398438) (1116,8.911962509155273)* (675,8.784151077270508) (699,8.51137924194336) (1919,8.454765319824219)* (1040,8.390979766845703)* (1863,8.372871398925781)* (2971,8.034402847290039) (5384,8.025047302246094)* (719,7.90362548828125) (4738,7.742897987365723)* (2732,7.733406066894531)* (5484,7.6565022468566895)* (1377,7.6196393966674805) (134,7.500619888305664)* (1172,7.481256484985352)* (1368,7.474575042724609) (294,7.306787967681885)*
839: (1,2.1540074348449707) (0,1.4762084484100342) (2,1.401528239250183) (701,0.9646505117416382) (51,0.9417104721069336) (5,0.9394205212593079) (6,0.897404670715332) (1183,0.8432177305221558) (4,0.8395310640335083) (112,0.8162087202072144)* (413,0.8011021614074707)* (8,0.7991646528244019) (205,0.7966627478599548) (222,0.7811106443405151) (161,0.7749232649803162) (203,0.7520580291748047) (34,0.7491121292114258) (1195,0.7274316549301147) (394,0.7261793613433838)* (1003,0.725671648979187)
840: (625,6.351163864135742)* (941,6.280519485473633) (1144,6.086552619934082) (575,5.815212726593018) (2997,5.675985336303711) (560,5.572958946228027) (190,5.549995422363281) (932,5.366194248199463) (626,5.332629203796387) (15,5.295907497406006) (1091,5.179140090942383) (200,4.986440658569336) (2134,4.918744087219238) (802,4.870895862579346) (512,4.862627983093262) (649,4.838339805603027) (1689,4.807657241821289) (640,4.718210697174072) (1682,4.688350677490234) (583,4.645818710327148)
841: (0,17.044586181640625) (4,13.981929779052734) (48,8.000160217285156) (11,7.6844563484191895) (159,7.416563510894775)* (1279,6.990565299987793)* (107,6.910083770751953) (161,6.731886863708496)* (986,6.623452186584473) (222,6.622178077697754)* (211,6.619883060455322)* (226,6.5647358894348145)* (35,6.461138725280762) (68,6.401264190673828) (717,6.389993667602539) (51,6.362334251403809) (810,6.293037414550781) (553,6.265969753265381)* (312,6.215183258056641) (360,6.1835036277771)
842: (0,1.6591355800628662) (2,1.2464359998703003) (5,0.8306908011436462) (701,0.7801001071929932)* (59,0.7705919742584229)* (6,0.7456895112991333) (1183,0.6893303394317627)* (51,0.6490720510482788)* (4,0.632033109664917)* (8,0.6106714010238647)* (161,0.5702410340309143) (203,0.5613436698913574) (34,0.555925190448761) (205,0.5532387495040894)* (112,0.5487583875656128)* (344,0.5330505967140198) (1279,0.5195294618606567) (716,0.5171946883201599)* (176,0.510621190071106) (23,0.5094860196113586)
843: (15,1.9713284969329834) (4,1.826544165611267) (167,1.2528443336486816) (159,1.178952693939209) (67,1.1515262126922607) (131,1.1199061870574951) (11,1.1097805500030518) (168,1.0573464632034302) (54,1.0486664772033691) (215,1.0253863334655762) (107,1.0226118564605713) (113,1.0019949674606323) (366,0.9636202454566956)* (312,0.9158867597579956) (170,0.904994785785675) (674,0.8866859674453735) (9,0.8550319671630859) (63,0.8536331653594971) (265,0.8289794921875) (276,0.826555073261261)
844: (15,9.039229393005371)* (8,7.426001071929932) (95,7.107974052429199)* (81,6.722994804382324) (170,6.7059550285339355) (67,6.689138889312744) (298,6.604727745056152) (1,6.430510520935059) (136,6.173554420471191)* (419,6.148577690124512) (51,6.147037506103516)* (207,5.932167053222656) (366,5.92015266418457) (764,5.852867603302002) (215,5.733497619628906) (519,5.662023067474365) (2,5.644750595092773)* (259,5.470675468444824) (986,5.421113967895508) (2066,5.418972015380859)
845: (136,4.092231750488281) (48,4.049782752990723) (147,3.8535783290863037) (167,3.843351364135742) (592,3.605168342590332) (11,3.490467071533203) (131,3.2964324951171875) (2,3.2814390659332275) (81,3.2027170658111572) (130,3.166586399078369) (8,3.126222610473633) (215,3.1133639812469482) (512,3.0868494510650635) (1279,2.996479034423828) (1063,2.969329833984375) (170,2.9690732955932617) (1144,2.936441421508789) (129,2.9025166034698486) (366,2.894162893295288) (434,2.893054246902466)
846: (942,5.532621383666992) (640,5.453945636749268) (2814,5.325075149536133) (3255,5.000978469848633) (618,4.907894134521484) (2134,4.752534866333008) (3699,4.700799942016602) (1098,4.546538829803467) (2137,4.536086082458496) (941,4.4699320793151855) (1100,4.338902473449707) (1093,4.331350326538086) (808,4.243452548980713) (3915,4.241756439208984) (6902,4.208352565765381) (2143,4.202769756317139) (2811,4.1097540855407715) (1689,4.1005988121032715) (5006,4.07694673538208) (3270,4.002439975738525)
847: (2868,10.31342887878418)* (9309,8.424884796142578) (1153,8.048564910888672) (3519,7.965207099914551) (3024,7.815872669219971)* (20688,7.486352920532227)* (1102,7.485635757446289)* (1294,7.115167617797852) (9356,6.915326118469238) (9355,6.840156555175781) (2964,6.826601028442383) (240,6.823424339294434) (1117,6.793280601501465) (1123,6.768486022949219) (1140,6.7099995613098145) (9338,6.667222023010254) (1935,6.5992112159729)* (8543,6.521641254425049)* (11621,6.487035274505615)* (4420,6.297283172607422)
848: (560,8.462884902954102)* (153,7.556521415710449)* (136,7.5111894607543945) (15,7.370969772338867) (130,7.30885124206543) (147,7.06959342956543) (1063,6.832588195800781)* (512,6.777489185333252) (1278,6.589488506317139) (493,6.372194290161133) (539,6.2906341552734375) (916,6.1993231773376465)* (0,6.1191277503967285) (1058,5.994275093078613) (915,5.760026931762695) (81,5.695655345916748)* (1790,5.685025215148926)* (143,5.504190921783447) (1055,5.4420928955078125) (519,5.440382480621338)
849: (13,0.9605459570884705)* (168,0.7827602624893188)* (9,0.7748821973800659) (15,0.7248518466949463)* (14,0.7190337777137756)* (131,0.7136585712432861)* (18,0.6814098358154297) (82,0.6774714589118958)* (354,0.6691083908081055) (54,0.6427607536315918) (439,0.6399794816970825) (340,0.6186927556991577) (1691,0.5964096784591675) (689,0.5897400379180908) (237,0.5867661237716675) (142,0.5855212211608887) (274,0.5775670409202576)* (119,0.5700823664665222)* (158,0.5644956231117249) (945,0.557550311088562)
850: (1058,8.13697624206543)* (1314,8.075454711914062)* (3008,8.00128173828125)* (2814,7.9523773193359375) (1099,7.849662780761719)* (589,7.577097415924072) (930,7.551490783691406)* (1126,7.365253448486328) (1098,7.224028587341309)* (576,7.175469398498535)* (1017,7.050307273864746) (1315,7.022799491882324) (1278,7.0031609535217285)* (1040,6.948208332061768)* (486,6.943591117858887) (2945,6.854089736938477) (529,6.837612152099609)* (1095,6.819340705871582)* (647,6.782944679260254)* (1061,6.684500694274902)*
851: (4,1.5714802742004395) (150,1.0996472835540771) (697,1.0958842039108276) (2664,1.0921599864959717) (3214,1.0901002883911133) (1813,1.032324194908142) (71,1.0258675813674927) (1977,0.9977978467941284) (9243,0.9771950244903564) (2660,0.9647336602210999) (10349,0.9411380887031555) (1190,0.9406777620315552) (3105,0.9366656541824341) (4997,0.9308503866195679) (154,0.9020295739173889) (3511,0.887101411819458) (12237,0.8769917488098145) (1992,0.8756523132324219) (1,0.8703974485397339) (183,0.8463534116744995)
852: (2,0.736208975315094) (420,0.5662866830825806) (421,0.5422071218490601)* (8,0.5328842997550964) (226,0.5093178153038025)* (4,0.5086334347724915)* (1,0.5066386461257935)* (810,0.5066086649894714)* (388,0.49875128269195557)* (685,0.48335063457489014)* (1949,0.45205530524253845) (1826,0.4497697949409485)* (721,0.4454888701438904)* (716,0.4322669208049774) (4122,0.41058778762817383)* (986,0.40522074699401855)* (2932,0.3974341154098511) (1867,0.3963278830051422) (364,0.3927249312400818)* (1336,0.3916440010070801)*
853: (592,5.112382888793945) (15,4.677894592285156) (185,4.643227577209473) (941,4.540802001953125) (806,4.237571716308594) (625,4.231755256652832) (190,4.2103071212768555) (4,4.202090740203857) (642,4.175824165344238) (640,4.16914176940918) (1100,4.1125359535217285) (560,4.04050350189209) (2143,4.016465187072754)* (2131,4.000847816467285) (575,3.9867122173309326) (2779,3.8806982040405273) (147,3.7419662475585938) (658,3.729773759841919) (3266,3.7292277812957764)* (1088,3.6609718799591064)*
854: (1058,2.467379093170166) (3806,2.430494546890259) (539,2.399690628051758) (4144,2.3512625694274902) (514,2.2323336601257324) (1017,2.1338183879852295) (4815,2.0337913036346436) (14469,1.995194435119629) (5458,1.9602043628692627) (1002,1.9430088996887207) (1021,1.9329822063446045) (1518,1.9316794872283936) (6406,1.9290361404418945) (559,1.884769082069397) (1303,1.8422808647155762) (520,1.837257981300354) (7628,1.8095877170562744) (3346,1.8079032897949219) (919,1.799103021621704) (2846,1.790296196937561)
855: (15,17.474592208862305) (4,9.856403350830078) (80,9.085007667541504) (1100,8.869258880615234) (941,8.781046867370605) (2131,8.55364990234375) (4108,8.068320274353027) (6075,8.065145492553711) (2069,7.986291885375977) (1144,7.971406936645508) (1315,7.850807189941406)* (1134,7.808244705200195) (3699,7.628328323364258) (658,7.491966247558594) (654,7.457481384277344) (73,7.226846694946289) (1055,7.175671577453613) (540,7.150814056396484) (81,7.019529342651367) (1098,6.88403844833374)
857: (1192,10.317863464355469)* (189,9.147806167602539) (3862,9.053483009338379)* (269,8.857312202453613)* (72,8.800294876098633)* (2328,8.765329360961914)* (689,8.756641387939453) (354,8.544635772705078)* (219,8.418129920959473)* (439,8.40245246887207)* (168,8.35195541381836)* (3865,8.160350799560547)* (2864,7.9618120193481445)* (16,7.942005157470703) (1273,7.893996238708496)* (592,7.694253444671631)* (374,7.64348840713501) (276,7.611589431762695)* (4224,7.504405498504639) (221,7.480439186096191)
858: (15,5.967870235443115)* (11,5.303772449493408) (560,5.2986345291137695) (9,4.725390434265137) (167,4.63661003112793) (215,4.597773551940918) (18,4.484812259674072) (166,4.358089447021484) (153,4.218300819396973)* (159,4.181833267211914)* (136,4.100914001464844) (48,4.0845723152160645) (185,4.074235439300537) (131,3.9036924839019775) (16,3.9023964405059814) (520,3.877950429916382)* (2026,3.83571720123291) (941,3.829747200012207) (721,3.8114869594573975) (707,3.768134593963623)
859: (11,1.58168625831604)* (0,1.506622552871704) (15,1.2373802661895752)* (18,1.1682512760162354)* (4,1.0309984683990479) (215,0.9777896404266357)* (17,0.9128248691558838)* (13,0.8885388374328613) (168,0.879711925983429)* (167,0.8643226027488708)* (54,0.8440170884132385) (661,0.837332010269165)* (142,0.8213884830474854)* (123,0.8153057098388672)* (721,0.8072994351387024) (81,0.7908486723899841)* (115,0.7887452840805054) (67,0.7850840091705322)* (211,0.7740296721458435) (113,0.7632352709770203)*
860: (1186,8.107687950134277) (2813,7.903597831726074)* (2973,7.901851177215576) (87,7.754036903381348) (1813,7.713748455047607) (834,7.461974143981934) (4432,7.42871618270874)* (95,7.356043815612793)* (553,7.2463788986206055) (2732,7.160616874694824) (832,7.1424078941345215) (898,7.03424072265625) (1153,6.9826154708862305)* (752,6.921469211578369) (843,6.917705535888672)* (827,6.602513790130615) (1111,6.560693264007568)* (2096,6.533195495605469) (1147,6.419893741607666) (862,6.41030216217041)*
861: (0,2.421342611312866) (4,1.8122177124023438) (5,1.3051505088806152) (1,1.2877001762390137) (6,1.095545768737793) (8,1.0182390213012695) (632,0.8714320063591003) (167,0.8341952562332153) (139,0.8171236515045166)* (203,0.7968264222145081) (15,0.7906310558319092)* (324,0.7799879312515259) (1279,0.764396607875824) (222,0.7543869018554688) (161,0.7524778842926025) (716,0.7406517863273621) (986,0.7400421500205994) (344,0.7351379990577698) (440,0.7228063344955444) (205,0.7078335881233215)
862: (9,10.39706802368164)* (237,9.941600799560547)* (189,9.132808685302734) (669,9.049962997436523)* (952,8.919153213500977)* (1184,8.621719360351562)* (2150,8.516607284545898)* (82,8.346426010131836)* (211,8.238459587097168)* (276,8.127495765686035)* (3,7.99479866027832) (964,7.945815086364746)* (848,7.845938205718994)* (3280,7.795689105987549) (895,7.62009334564209) (354,7.61775016784668) (3862,7.518163204193115)* (2220,7.51783561706543)* (229,7.427093982696533)* (925,7.409721374511719)
863: (618,5.9569411277771) (2839,5.259385108947754) (941,5.254977226257324) (650,4.577767372131348) (1689,4.486178398132324) (2138,4.474815845489502) (1095,4.336358070373535) (3824,4.2101969718933105) (2832,4.195991516113281) (625,4.173748970031738) (572,4.17191743850708)* (653,4.165343761444092) (643,4.115464210510254) (619,4.06970739364624) (3266,4.04963493347168) (3008,4.007938861846924) (5872,4.001141548156738) (1098,3.890084981918335)* (1106,3.8569040298461914) (657,3.808403253555298)*
864: (15,4.178675651550293) (4,3.805260181427002)* (48,2.4419631958007812)* (67,2.378558397293091) (11,2.3563287258148193) (159,2.2326724529266357) (131,2.2191665172576904) (262,2.210202217102051) (101,2.154266595840454) (167,2.152113914489746) (170,2.1306700706481934) (136,2.125788927078247) (107,2.1231250762939453) (169,2.09730863571167) (2,2.067286491394043) (168,2.0364274978637695) (135,2.031691551208496) (434,1.998488426208496) (123,1.9901137351989746) (276,1.953514814376831)
865: (2790,9.150032997131348)* (4544,8.669189453125)* (1645,8.426009178161621)* (6670,8.38296127319336) (3548,8.285057067871094)* (3585,8.259012222290039) (11563,8.030858039855957) (4517,7.904796600341797)* (4553,7.54913330078125) (12377,7.531658172607422)* (1359,7.529888153076172)* (1190,7.463908672332764) (9278,7.42629861831665) (832,7.389118194580078) (1469,7.372040748596191) (1261,7.22899055480957) (419,7.188165664672852) (4345,7.181700229644775)* (3505,7.1782546043396) (298,7.159149169921875)
866: (15,1.3238167762756348) (4,1.2657866477966309) (9,1.1362313032150269) (13,1.1093294620513916) (11,1.079115867614746)* (16,1.0379818677902222) (0,1.0364083051681519) (80,1.0245236158370972)* (215,0.9675659537315369) (168,0.9174027442932129) (123,0.906092643737793) (54,0.8956733345985413) (14,0.8731464743614197) (113,0.8602049350738525) (82,0.8516179323196411) (48,0.8486541509628296) (17,0.8342241048812866) (135,0.8317748308181763) (173,0.7980291843414307) (174,0.7874639630317688)
867: (89,6.502749919891357)* (1192,6.418215751647949) (2096,6.029103755950928) (1116,5.574042320251465) (87,5.466102123260498) (48,5.3686442375183105) (2328,5.34235954284668)* (2220,5.34202766418457) (16,5.239736557006836) (2790,5.150238990783691) (575,5.130344390869141) (174,5.091858863830566) (3445,5.045224666595459) (54,5.037735939025879) (11,4.983649253845215) (1813,4.974201202392578)* (53,4.8732709884643555) (1305,4.867913246154785) (72,4.850808143615723) (699,4.78236198425293)
869: (4,21.39253807067871)* (4122,6.90197229385376) (703,6.5128374099731445) (957,6.2465410232543945) (9748,6.159745693206787)* (683,6.093077182769775) (459,5.874441146850586) (697,5.607156753540039) (11,5.5929131507873535) (1867,5.518157005310059) (9,5.4633283615112305) (832,5.461123943328857) (3078,5.43457555770874) (898,5.408994674682617) (4888,5.26267147064209)* (3622,5.238086700439453) (107,5.144651412963867) (48,5.106895446777344) (237,5.098560333251953)* (10,5.030496597290039)
870: (4,1.7645184993743896) (15,1.659845232963562) (48,1.429161787033081) (13,1.3623579740524292) (9,1.3074326515197754) (11,1.2796781063079834) (168,1.232322096824646) (16,1.228979229927063) (113,1.1565486192703247) (276,1.1185102462768555) (167,1.093252182006836) (215,1.0763505697250366) (269,1.0750205516815186) (82,1.0696821212768555) (14,1.0650713443756104) (115,1.0631155967712402) (354,1.050809383392334) (159,1.047199010848999) (131,1.0445176362991333) (142,1.0371103286743164)
871: (560,1.1861705780029297) (592,1.183142900466919) (153,1.1358338594436646) (185,1.113537073135376) (512,0.9756842851638794) (707,0.9710452556610107) (520,0.9634991884231567) (1063,0.9563501477241516) (2066,0.9071358442306519) (546,0.8936491012573242)* (915,0.8876006603240967) (493,0.8807654976844788) (136,0.8686568737030029) (147,0.8533459901809692) (130,0.8278356790542603) (2609,0.8261150121688843) (164,0.8251464366912842) (1273,0.8198223114013672) (1518,0.8130193948745728) (642,0.811884343624115)
872: (200,5.041510105133057) (1100,4.873221397399902) (806,4.643369674682617) (802,4.561319351196289) (1144,4.484055995941162) (190,4.481999397277832) (592,4.443136215209961) (1103,4.432631969451904) (618,4.405739784240723) (658,4.325986862182617) (1682,4.281524181365967) (575,4.1451735496521) (185,4.143638610839844) (660,3.9384098052978516) (1314,3.9129953384399414) (2138,3.8934621810913086) (2141,3.8909528255462646) (2814,3.83420991897583) (3280,3.8161213397979736) (626,3.8040242195129395)
874: (9,10.437191009521484) (267,9.32261848449707) (4185,9.039401054382324)* (440,8.977699279785156)* (2173,8.642513275146484)* (372,8.526285171508789)* (18,8.333608627319336)* (1044,8.129908561706543) (1069,8.066092491149902)* (144,8.043537139892578) (347,8.006046295166016)* (2154,7.9575910568237305)* (5211,7.846213340759277)* (722,7.776585578918457) (15,7.754021167755127)* (668,7.673280239105225) (1221,7.59581184387207)* (5443,7.521209239959717) (2168,7.484127044677734)* (1281,7.473806858062744)*
875: (240,6.472947120666504) (95,6.16403865814209)* (553,6.135123252868652)* (89,5.981391906738281)* (394,5.56914758682251) (952,5.493041515350342) (1187,5.304097652435303) (0,5.284279823303223) (1186,5.082071781158447)* (15,4.867142677307129) (707,4.856449127197266) (48,4.810629844665527) (174,4.803293228149414) (1236,4.675975799560547) (1915,4.657585144042969)* (1813,4.557628631591797) (1235,4.546740531921387) (9,4.488603591918945) (1273,4.458536624908447) (106,4.454547882080078)
