userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (1,10.045759201049805)* (318,6.6315999031066895) (364,6.468421936035156) (593,6.187643051147461) (2987,5.692460536956787) (34,5.580101490020752) (2081,5.215635299682617) (1196,5.170337677001953) (1198,4.927821159362793) (1704,4.8776655197143555) (1022,4.738824844360352)* (589,4.708164691925049) (2085,4.643235206604004) (1225,4.5742950439453125) (2761,4.502077579498291) (3751,4.476326942443848) (2687,4.436985015869141) (2078,4.415338039398193) (2096,4.3592963218688965) (1210,4.35758113861084)
1780: (1250,5.557895660400391) (1196,5.0937018394470215) (2028,4.947792053222656)* (527,4.933023452758789) (1,4.786067008972168) (1259,4.645485877990723) (1210,4.598541259765625) (920,4.592818737030029) (260,4.552556991577148)* (356,4.538119792938232) (919,4.538055419921875) (1307,4.501066207885742) (1294,4.3824462890625) (2194,4.227906703948975)* (110,4.221015453338623) (1304,4.169796943664551) (1225,4.074071407318115) (1947,4.048398494720459) (3471,4.0066447257995605)* (1240,4.000889778137207)*
1781: (1258,8.568568229675293) (2455,5.977715969085693) (2288,5.725218772888184) (968,5.646475791931152) (1350,5.558045387268066) (1345,5.510194778442383)* (1339,5.299047470092773) (3018,5.174800395965576) (3081,5.15351676940918) (1278,5.096315383911133)* (2710,4.951040267944336) (2454,4.919183731079102) (2459,4.8499956130981445) (2867,4.64228630065918) (1387,4.593374252319336) (2160,4.587846279144287) (610,4.584814071655273) (2664,4.578991889953613) (2513,4.533788204193115) (1974,4.526778221130371)
1782: (2997,9.434432983398438) (2987,9.214292526245117) (2683,6.105381965637207)* (2706,5.633313179016113) (3578,5.3902387619018555) (223,5.224756240844727) (2716,4.931971549987793) (2395,4.703117847442627) (2707,4.338920593261719) (2908,4.322460174560547) (913,4.213513374328613) (3160,4.189888954162598) (3114,4.189661502838135) (2710,4.155905723571777) (3175,4.142237663269043) (3174,4.1262593269348145) (2336,4.097471237182617) (2959,4.0718865394592285) (3408,4.067013740539551) (3753,3.9896678924560547)
1783: (3948,3.567324161529541) (3481,3.2949109077453613) (3911,3.0801825523376465) (3408,2.8167014122009277) (3952,2.8154683113098145) (3893,2.6915268898010254) (3949,2.655623435974121) (1230,2.5841996669769287) (3160,2.584030866622925) (2997,2.543335199356079) (1193,2.498314380645752) (3006,2.388361692428589) (1252,2.368756055831909) (858,2.319317102432251) (3535,2.1507132053375244) (1673,2.139385223388672) (3176,2.1288070678710938) (2858,2.1213924884796143) (3510,2.0959720611572266) (3578,2.077277660369873)
1784: (2571,3.542872905731201)* (480,3.226867437362671) (1240,2.8150720596313477) (1580,2.8095805644989014) (110,2.7869694232940674) (2916,2.5672059059143066)* (457,2.4735167026519775) (260,2.4636847972869873) (1214,2.314296007156372) (1249,2.3110036849975586) (1200,2.300039768218994) (1196,2.24709415435791) (2028,2.1976962089538574) (1210,2.1876444816589355) (1,2.1677191257476807) (1610,2.057173728942871) (593,1.9116685390472412)* (1259,1.8683445453643799) (541,1.8432466983795166) (1036,1.8256897926330566)
1785: (3578,5.633861541748047)* (2858,5.1815505027771) (589,4.719892501831055) (3624,4.5590901374816895) (2571,4.356882095336914) (3948,4.320730209350586) (3555,4.287120819091797) (3753,4.236656665802002) (2997,4.072965621948242) (3408,3.96028208732605) (3510,3.913743019104004) (3911,3.8238584995269775) (2028,3.499507188796997) (480,3.4954540729522705) (50,3.473050117492676) (1249,3.424675464630127) (2959,3.3619253635406494) (3863,3.323744773864746) (3160,3.3084664344787598) (3300,3.2916572093963623)
1786: (1252,2.952838897705078) (3435,2.4609649181365967) (1284,2.397822380065918)* (2186,2.181605815887451) (922,2.131138801574707) (908,2.079749584197998)* (2987,2.0464000701904297) (913,1.8318696022033691) (1267,1.8188053369522095) (1260,1.747623324394226) (1212,1.7245328426361084) (2066,1.7098150253295898) (923,1.651963472366333) (930,1.6486549377441406) (2203,1.5795915126800537) (903,1.5777602195739746) (3334,1.5340709686279297) (1617,1.5088438987731934) (904,1.490949273109436) (942,1.4371960163116455)
1787: (2858,6.930023193359375)* (593,5.0419392585754395)* (2762,4.735387802124023) (2028,4.527012825012207) (296,4.442809104919434) (2396,4.260868072509766) (608,4.233730316162109) (318,4.217731952667236) (1213,3.7786202430725098) (527,3.7192044258117676) (2683,3.5980966091156006) (589,3.5407350063323975) (2599,3.5315399169921875) (1265,3.3400750160217285) (2571,3.2824759483337402) (1089,3.2310400009155273) (1,3.220759391784668) (2959,3.191101551055908) (3578,3.1403732299804688) (1923,3.1240463256835938)
1788: (608,4.327971935272217) (1252,4.0201849937438965) (1230,4.01307487487793) (2997,3.9435791969299316) (1094,3.8340070247650146) (2692,3.32255220413208) (509,3.3178844451904297) (265,3.3141531944274902) (296,3.2915735244750977) (32,3.2279469966888428) (25,3.220057725906372) (1213,3.1721811294555664) (50,3.130526542663574) (1244,3.0337376594543457) (293,3.026648998260498) (1077,2.9196133613586426) (1183,2.913844585418701) (1089,2.896846294403076) (1249,2.854275703430176) (924,2.850756883621216)
1789: (3160,7.3658552169799805) (3481,6.687054634094238) (2959,6.625339984893799)* (3408,6.549672603607178) (2762,6.1374053955078125)* (2580,5.858761787414551) (2987,5.693814754486084) (3948,5.6776909828186035) (3006,5.4212751388549805) (2028,5.416301727294922)* (2396,5.302972793579102) (1617,5.270617485046387) (3174,5.221817970275879) (296,5.163852691650391) (858,5.009552001953125) (3751,4.960897445678711) (3510,4.93174409866333) (2502,4.917476654052734)* (3753,4.756925582885742) (3114,4.658932685852051)
1790: (589,11.809004783630371)* (1270,8.154879570007324)* (3527,8.130584716796875)* (3421,7.6231231689453125) (2987,7.531209945678711) (2000,7.529528617858887)* (1197,7.008338928222656) (2683,6.926174640655518) (32,6.667187213897705)* (104,6.619045734405518)* (1394,6.615429878234863) (2985,6.471282958984375)* (2858,6.470853805541992) (3210,6.4305243492126465)* (592,6.351383209228516) (3703,6.320743560791016)* (1,6.312750816345215) (3671,6.2003374099731445)* (2011,6.177486419677734) (1275,6.050134658813477)
1791: (111,6.933728218078613)* (296,6.784289836883545)* (1193,6.48307991027832) (908,6.2220778465271) (912,6.157770156860352)* (1230,5.969670295715332)* (50,5.8934855461120605) (1247,5.804104328155518)* (904,5.7731032371521) (593,5.287933349609375) (1207,5.196034908294678)* (2289,5.1158976554870605) (903,4.986374855041504) (1267,4.986030578613281) (162,4.982721328735352) (3435,4.948473930358887) (318,4.865705490112305) (3683,4.843505382537842) (2064,4.711808681488037) (1208,4.660676002502441)
1792: (150,1.8469676971435547) (1704,1.8407641649246216) (1213,1.7815277576446533) (318,1.7175372838974) (1393,1.6605992317199707)* (296,1.611349105834961) (50,1.6032993793487549) (47,1.5486211776733398) (6,1.4809967279434204) (593,1.4186574220657349) (161,1.3616652488708496) (3100,1.336655616760254) (608,1.335688591003418)* (527,1.3342870473861694) (590,1.3339319229125977) (628,1.316203236579895) (3252,1.2909793853759766) (3147,1.2814885377883911) (1466,1.2811741828918457) (1617,1.278845191001892)
1793: (2716,2.5456478595733643)* (913,2.1922354698181152) (2355,1.9968897104263306)* (2683,1.9861900806427002)* (3175,1.6941715478897095) (3114,1.6907724142074585)* (223,1.5907325744628906)* (2997,1.5815868377685547)* (588,1.5810632705688477)* (2700,1.518787145614624)* (1127,1.484506368637085)* (2770,1.4328526258468628) (1291,1.4328207969665527)* (2706,1.3339896202087402)* (1,1.3221065998077393)* (2396,1.320425033569336) (1210,1.3032664060592651)* (1198,1.2882381677627563)* (2761,1.2872631549835205)* (2394,1.2778793573379517)
1794: (1196,8.074402809143066)* (1240,7.579822063446045) (593,7.200440406799316) (2028,7.152791976928711) (2000,7.104898452758789)* (1197,6.986236095428467) (1200,6.576080322265625)* (1704,6.025213241577148) (1242,5.924443244934082) (1222,5.695137977600098) (2762,5.6282453536987305) (3793,5.514950275421143) (858,5.4902448654174805) (50,5.469627380371094)* (3527,5.37700891494751) (1214,5.16166877746582) (2916,5.144834518432617)* (733,5.1095709800720215) (377,5.102144718170166)* (296,5.0099077224731445)
1795: (1,5.457614898681641) (1196,5.259161949157715)* (1210,5.167762756347656) (2571,5.137123107910156) (1580,5.082431316375732) (2858,4.482016563415527)* (480,4.391574859619141) (2028,4.346829414367676) (1265,4.257922172546387)* (1923,4.061511516571045) (110,4.048008918762207) (1517,3.595493793487549) (1240,3.5234954357147217)* (2706,3.451319456100464) (11,3.337827682495117) (318,3.2982919216156006) (3255,3.2431864738464355) (2396,3.2376348972320557) (2628,3.1891441345214844) (39,3.167750597000122)
1796: (1230,8.199882507324219)* (2997,7.79323673248291) (1252,6.825016975402832) (2289,6.613570213317871)* (2064,6.551501274108887) (1234,6.267847061157227) (1294,6.245234489440918)* (910,6.121447563171387) (1276,5.771461486816406) (1952,5.50690221786499) (3072,5.494598388671875) (1292,5.460601329803467)* (1256,5.431097507476807) (1307,5.410536289215088) (2396,5.404272079467773) (608,5.174226760864258) (2352,5.156047344207764) (1172,4.9912495613098145) (909,4.912132263183594) (1193,4.870119571685791)
1797: (1252,2.952838897705078)* (3435,2.4609646797180176) (1284,2.397822141647339)* (2186,2.181605815887451)* (922,2.131138801574707)* (908,2.079749584197998)* (2987,2.0463995933532715) (913,1.8318694829940796)* (1267,1.8188050985336304)* (1260,1.7476232051849365) (1212,1.7245327234268188) (2066,1.7098150253295898)* (923,1.651963472366333) (930,1.6486546993255615)* (2203,1.5795912742614746) (903,1.5777599811553955)* (3334,1.5340709686279297)* (1617,1.5088436603546143)* (904,1.490949034690857)* (942,1.437195897102356)
1798: (1272,2.11961030960083) (908,2.0295090675354004) (1204,1.9772167205810547) (1262,1.9293400049209595) (2944,1.8817973136901855) (1208,1.8651087284088135) (858,1.846904993057251)* (2028,1.801071047782898) (110,1.7544759511947632) (1233,1.7346611022949219) (3062,1.6667550802230835) (1263,1.6666686534881592) (1242,1.659489393234253) (527,1.6432113647460938) (1249,1.6381231546401978) (3196,1.6259210109710693) (1276,1.5932748317718506) (912,1.5392674207687378) (1090,1.4983481168746948) (2067,1.4862480163574219)
1799: (593,7.332850456237793) (318,7.005731582641602) (1704,6.575198173522949) (2997,6.558317184448242)* (50,6.0698065757751465) (1617,6.023820400238037) (3006,5.875296592712402) (1673,5.4466142654418945) (36,5.400283336639404) (2324,5.138422966003418) (3897,5.099915504455566)* (2599,5.08571195602417) (2908,4.768838405609131) (2289,4.633940696716309) (356,4.6298627853393555) (25,4.6157073974609375) (1923,4.586972236633301)* (1393,4.4158406257629395) (778,4.4130048751831055) (1784,4.246652603149414)
1800: (2716,2.5456457138061523) (913,2.192234516143799)* (2355,1.996888279914856) (2683,1.986188530921936) (3175,1.694170355796814) (3114,1.6907713413238525)* (223,1.5907312631607056)* (2997,1.58158540725708)* (588,1.5810625553131104) (2700,1.518786072731018) (1127,1.4845054149627686)* (2770,1.432851791381836) (1291,1.4328193664550781)* (2706,1.3339886665344238)* (1,1.322105884552002)* (2396,1.3204240798950195) (1210,1.3032649755477905)* (1198,1.2882366180419922)* (2761,1.2872623205184937) (2394,1.2778785228729248)
1801: (589,9.140619277954102) (1580,5.638006210327148) (2028,5.271005630493164) (1249,4.810283660888672) (2791,4.625912666320801) (908,4.340428352355957) (356,4.137962341308594) (608,4.1148152351379395) (2571,4.107664108276367) (527,4.103821754455566) (260,3.9945082664489746) (3753,3.9195334911346436) (1210,3.857052803039551) (318,3.8027915954589844) (1196,3.7596678733825684) (1,3.742067813873291) (1673,3.6931827068328857) (2455,3.622948169708252) (3160,3.534982204437256) (296,3.4790420532226562)
1802: (1258,9.63696575164795)* (608,8.617876052856445)* (1617,8.308634757995605) (296,7.888484001159668) (904,7.53593635559082) (2160,7.343313694000244) (2997,7.279842376708984) (1198,6.78684663772583)* (1196,6.445167541503906) (1207,5.963575839996338) (2762,5.954485893249512)* (1278,5.802490711212158) (2791,5.7447428703308105) (750,5.642207145690918) (1249,5.539379596710205) (541,5.534733295440674)* (3435,5.515524864196777)* (968,5.4623870849609375) (1,5.230447292327881) (924,5.179094314575195)
1803: (480,10.034066200256348)* (780,7.980055809020996)* (1527,7.168586254119873) (1,6.926645755767822)* (1408,6.567320823669434) (1610,6.530406475067139)* (1608,6.482649326324463)* (349,6.249814987182617) (3256,6.234728813171387)* (10,6.1792097091674805) (1722,6.119228363037109) (316,6.117154121398926) (3107,5.943081378936768)* (292,5.541057586669922) (2002,5.451206684112549) (1356,5.441452980041504)* (1918,5.42312479019165) (1215,5.363469123840332) (1265,5.191122055053711) (47,5.1759796142578125)*
1804: (1210,5.942777633666992)* (260,5.702065467834473)* (589,5.564214706420898) (2571,5.304142475128174) (2028,5.177658557891846)* (110,5.1279497146606445) (2628,4.9085588455200195) (1580,4.6087236404418945) (2987,4.478451251983643) (2858,4.421841144561768) (457,4.405543804168701) (527,4.401640892028809)* (1291,4.300919532775879) (1610,4.2758402824401855) (318,4.244816780090332) (1259,4.2015252113342285) (356,4.192568778991699) (1270,4.106090068817139) (1197,3.8934061527252197) (608,3.883014678955078)
1805: (589,2.2431540489196777) (2571,2.063292980194092)* (3578,2.0567922592163086) (3624,1.888298749923706) (1249,1.7034165859222412) (3175,1.6910557746887207) (3555,1.657118558883667) (260,1.6158615350723267)* (1374,1.6108746528625488) (3753,1.5935039520263672) (3745,1.5783576965332031) (1196,1.5443605184555054)* (3623,1.5402352809906006) (3751,1.5145044326782227) (1210,1.5132155418395996)* (3510,1.4091997146606445) (2959,1.3988406658172607)* (480,1.386406660079956) (1197,1.3837110996246338)* (1240,1.3326480388641357)
1806: (2716,2.5456478595733643)* (913,2.1922357082366943) (2355,1.9968897104263306)* (2683,1.9861899614334106)* (3175,1.694171667098999)* (3114,1.690772533416748)* (223,1.5907325744628906) (2997,1.5815870761871338) (588,1.5810633897781372)* (2700,1.518787145614624) (1127,1.4845064878463745) (2770,1.4328527450561523) (1291,1.4328209161758423) (2706,1.3339896202087402) (1,1.3221067190170288)* (2396,1.320425271987915)* (1210,1.3032664060592651) (1198,1.2882380485534668) (2761,1.2872631549835205) (2394,1.2778794765472412)*
1807: (2918,2.613854169845581) (1968,2.412532329559326)* (3552,2.1716184616088867)* (2791,2.042898416519165) (3793,1.9129408597946167) (2248,1.8913291692733765) (3210,1.8426605463027954) (2371,1.8136968612670898) (2804,1.7817513942718506)* (2144,1.7769761085510254) (1285,1.7648906707763672) (1394,1.7521910667419434)* (3039,1.7129110097885132)* (1259,1.7128888368606567)* (2795,1.6967337131500244)* (3526,1.6934610605239868) (1663,1.6703391075134277)* (1079,1.6515508890151978) (1220,1.6091554164886475) (1297,1.566908597946167)
1808: (3793,9.700669288635254) (3751,6.166327953338623) (3578,5.681551933288574) (1,5.033538818359375) (3948,4.946676731109619) (3408,4.87618350982666) (3481,4.69697380065918) (3798,4.456794738769531) (3897,4.367332458496094) (3623,4.322742462158203) (589,4.294755935668945) (480,4.1381001472473145) (3916,4.017391204833984) (3755,3.72750186920166) (110,3.6802773475646973) (2987,3.6693179607391357) (2355,3.666384220123291) (3745,3.61313533782959) (2858,3.558412790298462) (588,3.4616384506225586)
1809: (2987,9.8916015625) (2706,6.998973846435547) (223,6.170894622802734) (2355,5.412647247314453) (2599,5.231269836425781)* (2336,5.016342639923096) (3176,4.913059234619141)* (2712,4.7476325035095215) (2395,4.666099548339844) (2710,4.558829307556152) (3578,4.529231071472168) (1127,4.389996528625488) (2502,4.38663911819458) (785,4.384864807128906) (2700,4.3510541915893555)* (3005,4.346405029296875) (913,4.178053379058838) (2692,4.163970947265625) (2433,4.1580047607421875) (2688,4.128108978271484)
1810: (1252,8.249921798706055) (904,6.681952476501465) (1248,5.424233436584473) (1249,4.950954437255859) (908,4.879549980163574) (1267,4.79493522644043) (2186,4.770277976989746) (1284,4.616708755493164) (913,4.5699872970581055) (3435,4.221456527709961) (930,3.9278502464294434) (541,3.8699357509613037) (50,3.7844736576080322) (3683,3.6771559715270996) (922,3.6420652866363525) (1219,3.6062259674072266) (1625,3.6019186973571777) (111,3.537325859069824) (928,3.4576640129089355) (2997,3.3785042762756348)
1811: (2683,6.19520378112793) (2706,5.034784317016602) (2355,4.951352119445801) (913,4.581245422363281) (223,4.317888259887695) (3578,4.315563201904297) (2688,4.308454990386963) (2707,4.16769552230835) (3543,4.1133503913879395) (2013,4.050098419189453) (1959,4.034650802612305) (2599,3.984187364578247) (968,3.9650769233703613) (3203,3.9541127681732178) (2336,3.9009251594543457) (3005,3.733552932739258) (1259,3.668010711669922) (2070,3.6285998821258545) (3175,3.6167964935302734) (3408,3.61433744430542)
1812: (1653,6.890004634857178)* (1374,6.830513954162598)* (3033,6.247666358947754) (32,5.906806945800781) (3448,5.872690677642822)* (1967,5.833003997802734) (2968,5.828908920288086) (3052,5.779701232910156)* (1961,5.586804389953613) (1097,5.516671657562256)* (1527,5.487619400024414)* (316,5.460086345672607)* (1270,5.378807067871094)* (2528,5.334342002868652)* (3175,5.2517242431640625) (2174,5.201331615447998) (2716,5.1612396240234375)* (1271,5.158320903778076) (1372,5.1324920654296875)* (2959,5.091296195983887)
1814: (2571,5.642512321472168)* (3793,5.239887237548828) (2916,4.302818298339844)* (1356,4.281552791595459) (32,3.955181837081909)* (2628,3.944523811340332)* (1584,3.8626654148101807) (780,3.7225570678710938) (2858,3.7223310470581055) (1544,3.6800105571746826) (1653,3.474048376083374) (1210,3.377194881439209) (1573,3.3756699562072754) (1676,3.2755393981933594) (260,3.21836519241333) (1196,3.175166606903076) (3897,3.1698858737945557) (593,3.143402099609375) (1214,3.10160493850708) (1259,3.061098337173462)
1815: (589,10.60371208190918) (3793,7.563981056213379) (1210,6.840898513793945) (541,5.520402908325195) (2858,5.503037929534912)* (1240,5.155010223388672) (1214,5.0566911697387695) (1200,4.985593795776367) (1356,4.922981262207031) (1527,4.87763786315918) (32,4.875090599060059) (3578,4.755184173583984) (2916,4.707113265991211) (924,4.580018520355225) (2028,4.5794572830200195) (3751,4.270679473876953) (1198,4.168797492980957) (1374,4.150501728057861) (1127,4.1082611083984375) (3471,4.082003593444824)
1816: (1997,2.5004875659942627)* (1219,2.4727258682250977)* (1982,2.3965625762939453) (1994,2.2951855659484863) (1407,2.2522804737091064) (1387,2.1967592239379883)* (1214,2.168238639831543) (3499,2.0617103576660156) (1333,2.005521059036255) (2716,1.9837548732757568)* (1198,1.979794979095459) (1345,1.9650096893310547)* (593,1.9543461799621582) (1321,1.9276230335235596)* (1240,1.7767139673233032) (1278,1.7724037170410156) (1200,1.7673072814941406) (1350,1.75752854347229)* (1347,1.7529211044311523)* (1036,1.687319040298462)*
1817: (2571,7.376552104949951)* (1196,7.054298400878906)* (480,6.779061317443848) (1580,6.381352424621582)* (541,6.126856803894043) (1200,5.574751853942871) (2997,5.4783935546875) (110,5.394680976867676) (1270,5.351630687713623) (1,5.20950174331665) (32,5.1146697998046875)* (1198,5.069786071777344) (3897,4.845357894897461) (924,4.744479179382324) (2916,4.65140962600708) (608,4.649190902709961) (2628,4.542919635772705)* (3624,4.496366024017334) (2762,4.451864242553711) (1199,4.3555378913879395)
1818: (2987,6.25457763671875) (589,6.254001617431641) (588,5.401666641235352) (1198,5.333717346191406) (110,5.160243034362793) (480,4.952495574951172) (2028,4.843182563781738) (3114,4.673900604248047) (1197,4.528675079345703) (1210,4.517868518829346) (2571,4.5060577392578125) (1291,4.310415267944336) (919,4.205855369567871) (593,4.1343889236450195) (595,4.132029056549072) (2396,4.0299072265625) (2858,3.982633113861084) (527,3.9394218921661377) (2716,3.8526153564453125) (2628,3.766136646270752)
1819: (260,9.874038696289062)* (1259,7.273812294006348)* (2571,7.099653720855713) (1580,6.639341831207275)* (2858,6.157927513122559) (1249,6.14764404296875) (1252,6.0269365310668945) (2529,5.952589988708496)* (1199,5.776392936706543) (3702,5.73952579498291)* (2948,5.298553943634033) (1253,5.152312755584717) (2028,5.1387128829956055) (1248,5.0977044105529785) (2916,5.030665874481201) (1387,5.016852855682373)* (1193,4.670583724975586) (3578,4.512967586517334) (3527,4.500326156616211)* (912,4.491236686706543)
1820: (589,10.337966918945312)* (593,8.507620811462402)* (1270,7.623072624206543)* (1214,7.442272186279297)* (1240,7.133228778839111)* (2571,7.087592124938965) (110,6.835580348968506)* (1036,6.808814525604248)* (3793,6.6475749015808105) (1198,6.592711448669434) (1089,6.537356376647949) (2804,6.536449432373047)* (1997,6.449194431304932)* (2791,6.354654312133789)* (1210,6.285618305206299) (608,6.150826454162598) (457,5.945980072021484)* (1278,5.922365188598633)* (1394,5.847747802734375) (3499,5.828502655029297)*
1821: (1248,5.348356246948242) (3435,3.8710484504699707)* (922,3.722440719604492) (2731,3.552800178527832) (1945,3.50846529006958) (1237,3.4756784439086914) (3089,3.4380836486816406) (3095,3.4263033866882324) (1212,3.426140785217285) (3307,3.405019760131836)* (1251,3.402982711791992) (2019,3.376418113708496) (912,3.2741026878356934) (1104,3.2356724739074707) (2186,3.094403028488159) (1254,3.0226118564605713) (926,3.0108885765075684) (3022,2.981062650680542) (1219,2.965012550354004) (1228,2.9454174041748047)
1822: (1,5.703264236450195) (1270,5.310587406158447) (1240,5.200262069702148) (1079,5.161908149719238) (1259,5.084031105041504) (1198,4.9899678230285645) (1197,4.895570755004883) (1394,4.819897174835205) (1036,4.719743728637695) (1097,4.688741207122803) (2858,4.452444553375244)* (1200,4.438201904296875) (2797,4.291285991668701) (1196,4.266488075256348) (2997,4.2378644943237305) (1580,4.124227523803711) (1288,4.112055778503418) (2791,4.044709205627441) (2000,3.984004497528076) (480,3.8606977462768555)
1823: (3114,3.601497173309326)* (588,3.464174747467041) (34,2.805788993835449)* (589,2.6822688579559326) (2355,2.5943756103515625) (1148,2.454829216003418) (1265,2.355839967727661) (593,2.302152633666992) (595,2.280139684677124) (745,2.098182439804077) (2396,2.069899797439575)* (364,2.061619758605957) (318,2.061379909515381) (2987,1.8674201965332031) (2762,1.7954752445220947) (457,1.7830214500427246) (1923,1.7361387014389038) (2997,1.7149546146392822) (1223,1.7118356227874756) (356,1.6970970630645752)
1824: (318,7.665964126586914) (356,7.062800407409668) (593,6.8852434158325195) (1,6.778587341308594) (1393,6.677839756011963) (110,6.178014755249023) (2858,6.123508453369141)* (587,5.600090503692627) (3578,5.590529441833496) (3148,5.188121318817139) (2501,5.184971809387207) (2762,5.120842933654785) (36,4.961091041564941)* (3114,4.915070533752441) (3948,4.891302108764648) (3916,4.891032695770264) (3105,4.840236663818359)* (11,4.8115692138671875) (3006,4.742290496826172) (539,4.649181365966797)
1825: (318,7.95954704284668)* (593,7.426610946655273)* (527,6.502005100250244) (1784,5.735642910003662)* (597,5.184543609619141) (62,5.154510498046875) (587,5.153069019317627) (2501,5.107977867126465) (2028,5.104487419128418)* (3006,5.087474822998047) (2324,5.065962791442871) (1271,5.005875587463379) (3100,4.879188060760498) (508,4.865233421325684) (34,4.847055435180664) (3255,4.834802627563477) (1962,4.471521377563477) (2396,4.467727184295654) (3252,4.446814060211182) (17,4.426674842834473)
1826: (260,6.872120380401611) (1196,6.807879447937012) (1240,6.444364547729492) (1214,6.26119327545166) (1210,5.976925849914551) (750,5.292057514190674)* (1097,5.124348163604736) (480,4.870223045349121) (3175,4.846724510192871) (1199,4.810318946838379) (32,4.699725151062012) (1259,4.688178062438965) (1197,4.646554946899414) (1253,4.466922283172607)* (3793,4.372602462768555) (1198,4.313424110412598) (2791,4.253903388977051) (2968,4.233761787414551) (3702,4.213138580322266) (2529,4.184379577636719)
1827: (2858,4.293322563171387)* (2396,2.6457643508911133) (2599,2.6436665058135986) (223,2.371544361114502) (2762,2.370011806488037) (1617,2.036717176437378)* (2959,2.0328125953674316) (608,2.0162954330444336)* (2395,1.9937688112258911) (2987,1.9493348598480225) (593,1.9086172580718994) (3176,1.8918063640594482) (296,1.8260390758514404)* (3174,1.8192729949951172) (2706,1.8142127990722656) (2355,1.808671474456787) (2692,1.7962961196899414) (2908,1.748025894165039) (318,1.7330827713012695)* (1,1.7243472337722778)
1828: (2858,9.747834205627441)* (296,8.280169486999512)* (593,7.933174133300781) (2762,7.267827987670898) (608,6.759149551391602) (2706,6.122567176818848) (3006,5.876837253570557) (3578,5.582382678985596) (2599,5.472157001495361) (3160,5.291431427001953) (2395,5.217782974243164)* (2580,5.1772050857543945)* (2396,5.02005672454834) (1923,4.99664306640625) (2324,4.924063682556152) (2692,4.801578521728516) (356,4.772042274475098) (2502,4.7513227462768555) (2683,4.743477821350098) (589,4.718845844268799)
1829: (318,3.605681896209717) (608,3.3049612045288086)* (527,3.2412314414978027) (50,2.92783260345459)* (2762,2.889963388442993) (2028,2.8087432384490967) (296,2.7544941902160645)* (1617,2.7138280868530273) (2858,2.652890205383301) (1213,2.489602565765381) (589,2.171725273132324) (1704,2.1472249031066895) (1358,2.0904085636138916) (1193,2.0406455993652344) (1,2.023754358291626) (858,1.9667609930038452) (1089,1.9309049844741821)* (457,1.8696165084838867) (2571,1.8479325771331787) (260,1.8475310802459717)
1830: (1198,6.614844799041748) (2571,6.583414077758789) (480,6.099319934844971) (1200,5.697511196136475) (3793,5.394508361816406) (110,5.3630170822143555) (1214,5.154884338378906) (1610,5.045128345489502) (2000,4.528647422790527) (1374,4.5077805519104) (1197,4.484652519226074) (648,4.476299285888672) (733,4.385571479797363)* (858,4.380314826965332) (2628,4.359304904937744) (1270,4.2599968910217285) (2028,4.2552666664123535) (3578,4.042656898498535) (1573,3.9765501022338867) (1387,3.941986560821533)
1831: (3793,11.336620330810547)* (2762,9.330897331237793) (2396,8.529918670654297) (2502,7.630260944366455)* (3578,7.5522918701171875)* (2710,7.398618698120117) (2692,7.019976615905762) (3160,6.844842910766602) (2770,6.755361557006836) (2694,6.700222492218018) (3408,6.560157775878906) (2541,6.292487621307373) (2336,6.210251808166504) (2707,6.173370361328125) (1093,5.832067489624023) (3175,5.798826217651367)* (3298,5.741684913635254) (2605,5.393611431121826) (2841,5.329623222351074) (1127,5.286287307739258)*
1832: (1704,5.65936803817749) (318,5.569658279418945) (36,5.127016067504883) (3006,5.085655689239502) (265,4.866363525390625) (608,4.832751750946045) (527,4.676700115203857) (296,4.614480018615723) (778,4.4416961669921875) (1213,4.4370012283325195) (593,4.320133209228516) (337,4.270778179168701) (17,4.260949611663818) (58,4.012949466705322) (1673,3.967060089111328) (1719,3.942199945449829) (3418,3.8635668754577637) (3083,3.826444149017334) (1094,3.8040857315063477) (2329,3.74064040184021)
1833: (50,7.910452842712402) (110,7.551462173461914)* (2762,7.427962779998779) (589,7.042145729064941) (1358,5.971806049346924) (3147,5.802827835083008) (2571,5.78378963470459) (1,5.425117492675781) (858,5.405706882476807) (356,5.354194164276123) (1193,5.042165279388428) (36,4.889283657073975) (2396,4.871577739715576) (1265,4.8513875007629395) (150,4.7685866355896) (1221,4.683188438415527) (223,4.636195182800293)* (1196,4.582548141479492) (1673,4.438936710357666) (1923,4.436019420623779)
1834: (2987,10.191878318786621) (2762,6.710433006286621) (3114,6.089139461517334)* (1258,5.685922145843506) (3793,5.68018102645874) (3081,5.14387321472168)* (588,5.090781211853027) (3578,4.8589677810668945)* (589,4.783801078796387) (3798,4.693057537078857) (2683,4.6419758796691895) (595,4.515800952911377) (480,4.386073589324951) (3175,4.36114501953125) (3623,4.229024887084961)* (1994,4.196808815002441) (1407,4.140880584716797) (593,4.123348712921143) (2396,4.111118793487549) (3203,4.074559211730957)
1835: (6,6.469944000244141)* (16,6.4503326416015625) (1407,6.315196990966797)* (2003,6.012938976287842)* (2406,5.964151382446289)* (1466,5.88341760635376) (2289,5.87298059463501) (1285,5.858922958374023)* (1321,5.858579635620117)* (3499,5.835938453674316)* (1339,5.644125938415527) (1060,5.621655464172363)* (2395,5.620030403137207)* (2580,5.60921049118042)* (2291,5.576029300689697)* (3018,5.524242401123047) (1347,5.5060343742370605)* (377,5.434319496154785)* (2100,5.399199962615967)* (3104,5.395450592041016)*
