userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
17: (1584,13.81236457824707)* (541,10.820528984069824)* (1396,10.757814407348633) (3702,8.367671966552734) (1676,7.85729455947876) (2393,7.728440284729004) (1200,7.721454620361328)* (1215,7.41254997253418)* (2664,7.385313510894775)* (1372,6.983087539672852) (2968,6.339369773864746) (29,5.9196672439575195) (2628,5.819570541381836) (2009,5.5641889572143555) (2094,5.374697685241699) (3697,5.254743576049805) (3623,5.250040054321289) (3751,5.250040054321289)* (1307,5.250040054321289) (1358,5.250040054321289)*
2377: (1036,2.6055374145507812)* (1198,2.5839145183563232) (2028,2.5110201835632324) (110,2.462273120880127) (1240,2.3846616744995117) (2571,2.197305202484131) (1221,2.0492286682128906) (2948,2.0090084075927734) (3256,1.958278775215149) (1608,1.9117233753204346) (1214,1.855482816696167) (780,1.8503378629684448) (349,1.8460125923156738) (1201,1.8107080459594727)* (1953,1.7878785133361816) (2001,1.7801978588104248) (474,1.7656443119049072) (733,1.7186685800552368) (648,1.7173795700073242) (1200,1.6918061971664429)
2383: (2081,5.90505313873291) (497,4.752737998962402)* (597,4.650103569030762)* (2248,4.5183210372924805) (1569,4.33729887008667) (1148,4.326406002044678) (3253,4.272961616516113) (2150,4.239962100982666)* (11,4.1143879890441895) (3114,4.068779945373535) (1517,4.032488822937012) (339,4.01300048828125) (2087,3.978344202041626) (1223,3.968541145324707) (2096,3.965097427368164) (2085,3.882875919342041) (1297,3.861872673034668)* (745,3.8455262184143066) (2915,3.8429880142211914)* (3033,3.811800956726074)*
2389: (1,5.042006969451904) (2997,4.570639610290527) (1136,4.348811149597168) (34,4.343804359436035) (296,4.055175304412842)* (1223,3.9553754329681396) (1265,3.9186909198760986) (1288,3.754944324493408) (2599,3.6485438346862793)* (527,3.6157712936401367) (1198,3.5368289947509766)* (1214,3.512035369873047) (2396,3.5117974281311035) (1617,3.5093228816986084) (1259,3.434755325317383) (1270,3.413743495941162) (595,3.4109597206115723) (1080,3.292931318283081) (110,3.225816249847412) (1079,3.179539203643799)
2396: (2858,4.088726997375488)* (527,3.441162586212158) (1617,3.19759202003479) (2028,2.9393417835235596) (34,2.8392019271850586) (1,2.831397294998169) (17,2.7574310302734375) (1265,2.7429440021514893) (3114,2.7340731620788574) (1704,2.6825835704803467) (2692,2.3727128505706787) (745,2.2621707916259766) (3006,2.2462329864501953) (1148,2.2117931842803955) (1188,2.2073123455047607) (2336,2.1907451152801514) (58,2.1636335849761963) (2908,2.0779078006744385) (2289,2.0709292888641357) (36,2.0444726943969727)
2403: (260,5.244349479675293)* (1240,4.567602157592773) (2916,4.240701675415039) (2628,3.8273115158081055) (1374,3.6902904510498047) (3793,3.681705951690674) (1527,3.6312713623046875) (1356,3.6244759559631348) (541,3.61080265045166)* (1036,3.600271224975586) (780,3.4941179752349854) (1127,3.445781707763672) (1573,3.156815528869629) (1584,3.075559616088867) (1376,3.075331687927246) (2762,3.0396389961242676) (1097,2.991166830062866) (733,2.961862087249756) (3703,2.753173589706421) (1676,2.708019256591797)
2407: (1252,4.759226322174072)* (899,4.465021133422852) (1284,4.445503234863281) (903,4.279725074768066) (922,4.03700065612793) (1136,3.872061252593994)* (969,3.8484015464782715) (920,3.5285348892211914) (1244,3.5101661682128906) (2396,3.5047476291656494) (3334,3.489640235900879) (1148,3.4440929889678955) (1254,3.41180419921875) (1204,3.3752541542053223) (2858,3.3686578273773193) (1250,3.362704277038574) (928,3.3601760864257812) (2203,3.3581905364990234)* (1947,3.3205652236938477) (916,3.302285671234131)
2409: (1259,3.916236639022827) (1196,3.684600830078125) (1961,3.4594407081604004) (2791,3.4210970401763916) (1225,3.2754015922546387) (1036,3.1198606491088867) (1674,3.03837513923645)* (260,2.992839813232422) (3555,2.960829019546509) (2000,2.9010367393493652) (3897,2.8949947357177734)* (3755,2.795614242553711)* (1035,2.7828049659729004) (2100,2.7224788665771484)* (3360,2.70698881149292) (1302,2.7039737701416016)* (2352,2.703658103942871) (2762,2.689697504043579) (1959,2.664306640625) (2081,2.6308257579803467)
2411: (1240,4.357090473175049)* (2791,4.332664489746094)* (1,3.9975502490997314) (1079,3.852548599243164) (1265,3.764496326446533)* (2797,3.7223875522613525) (3114,3.715848684310913) (2918,3.6705589294433594) (1127,3.561577796936035) (1097,3.5458271503448486) (2997,3.5296080112457275) (480,3.506457567214966) (1234,3.483945846557617) (541,3.462078809738159)* (2406,3.3869683742523193) (1077,3.1770927906036377) (2916,3.100119113922119)* (3702,3.0708580017089844)* (3543,3.026923894882202) (3104,2.9988818168640137)
2426: (1193,3.205048084259033) (608,2.701462745666504) (1221,2.5184314250946045)* (1207,2.460664987564087) (2858,2.337892532348633) (923,2.334465742111206) (1299,2.3186559677124023) (912,2.2979989051818848) (1231,2.270505905151367) (1293,2.255341053009033) (111,2.252887487411499) (2028,2.04697322845459)* (1084,2.029884099960327) (296,2.0211970806121826) (1250,1.9660515785217285)* (919,1.9462635517120361) (1252,1.9391663074493408) (1230,1.9297958612442017) (1208,1.9139318466186523) (3468,1.901802897453308)
2428: (1269,3.550407886505127)* (2791,3.166306734085083) (3363,2.9929604530334473)* (1230,2.859349250793457) (3061,2.8508715629577637) (1079,2.810239315032959) (933,2.795867681503296) (899,2.7758774757385254) (2396,2.775068998336792)* (3114,2.7599780559539795) (1,2.7299182415008545) (969,2.697592258453369) (1028,2.6776227951049805) (3507,2.6337735652923584) (1265,2.581573963165283) (2918,2.552232503890991) (2080,2.5452537536621094) (911,2.5094375610351562) (1136,2.5082790851593018) (945,2.4801132678985596)
2430: (1270,3.109495162963867) (3552,2.825009822845459) (1259,2.6170639991760254) (2716,2.6132888793945312) (1198,2.5654194355010986) (2797,2.489168167114258) (1220,2.4816365242004395) (3210,2.426046371459961) (1079,2.3231825828552246) (2915,2.131744861602783) (1240,2.1277241706848145) (2001,2.0390536785125732) (1196,2.018913507461548) (457,2.0112762451171875) (1257,1.9627174139022827) (1136,1.9298722743988037) (2194,1.9188697338104248) (2406,1.8737437725067139) (3526,1.8463135957717896) (2144,1.8276385068893433)
2436: (2762,4.353137969970703) (2858,4.160242557525635)* (2716,4.07895565032959)* (1923,3.911639451980591) (1784,3.811216115951538) (2028,3.7041544914245605)* (1079,3.643734931945801)* (1198,3.6072094440460205) (3210,3.604424476623535) (3114,3.5989956855773926) (2797,3.573484420776367) (3253,3.5634846687316895)* (1136,3.463552951812744)* (1517,3.382632255554199)* (2571,3.2396156787872314) (3868,3.1086368560791016) (21,3.0641074180603027) (1090,3.0388681888580322) (1060,3.010545253753662) (2001,2.9842240810394287)
2454: (1196,4.559907913208008)* (260,4.466011047363281)* (3114,4.104604721069336)* (588,3.9228904247283936) (2081,3.74326229095459) (2355,3.6944580078125) (364,3.6518232822418213)* (595,3.5463380813598633) (597,3.483755588531494) (1721,3.3799445629119873) (110,3.3795433044433594)* (1356,3.2947444915771484) (1259,3.2875123023986816) (11,3.274158477783203) (3753,3.159759044647217) (2006,3.1332104206085205) (733,3.1322641372680664)* (316,3.126354694366455) (1907,3.0854244232177734) (587,3.059077262878418)
2458: (780,3.7719314098358154) (480,3.201221466064453)* (2916,3.1950011253356934)* (316,3.1716372966766357)* (1573,2.9739603996276855) (1036,2.916055679321289) (1608,2.850003719329834) (1374,2.833894968032837) (1356,2.814891815185547) (1240,2.7948405742645264) (377,2.7550721168518066) (2706,2.716168165206909) (2002,2.6943674087524414) (2918,2.684250593185425)* (349,2.6654648780822754) (1376,2.6512222290039062) (1200,2.639883041381836) (1676,2.639061689376831)* (3082,2.5965280532836914) (2353,2.5948987007141113)
2461: (110,3.834472417831421)* (2997,3.4667789936065674) (3578,3.2807302474975586) (1265,3.1283068656921387) (1923,3.104250192642212) (296,3.086369037628174) (2706,2.999011516571045) (3114,2.974818229675293) (1,2.9653568267822266) (3793,2.8928942680358887) (2762,2.8804588317871094) (2396,2.835611581802368)* (2700,2.781233310699463) (1259,2.777904987335205)* (3753,2.737851619720459) (2599,2.7146995067596436) (3555,2.6909687519073486) (3624,2.683370590209961) (1784,2.6693434715270996) (3911,2.639831781387329)
2462: (1,5.475860595703125)* (3114,5.162869930267334) (1270,5.150828838348389) (1148,4.437915802001953)* (2355,4.050417900085449) (1294,3.5792300701141357)* (1223,3.561724901199341) (1080,3.5016896724700928)* (2396,3.4877727031707764) (2080,3.461060047149658) (2078,3.3671247959136963) (364,3.3336169719696045) (908,3.3269734382629395)* (2918,3.3117759227752686) (1079,3.3106584548950195)* (1035,3.2721900939941406) (3363,3.218194007873535) (2997,3.1589841842651367) (1269,3.12540864944458) (1947,3.107430934906006)
2472: (1213,4.961728096008301)* (527,4.653685569763184) (2997,4.27901554107666) (1704,4.241549491882324)* (2918,4.107800006866455) (2706,4.0998969078063965) (3552,4.077336311340332)* (1259,3.9835293292999268) (1136,3.811521053314209)* (1090,3.7806828022003174) (1060,3.633291721343994) (1784,3.575319290161133)* (3147,3.559985399246216) (1,3.461913585662842) (2599,3.404780626296997) (1258,3.4008188247680664) (3671,3.330059766769409)* (3253,3.1712422370910645) (1036,3.1659860610961914) (457,3.118483066558838)
2484: (2355,4.843449592590332) (2396,4.369720458984375)* (3408,4.305150985717773) (1270,4.292868614196777)* (3114,4.22097110748291)* (2724,4.119312763214111)* (110,4.102172374725342) (2688,4.044709205627441) (1265,3.5503642559051514)* (3555,3.518324613571167) (440,3.4653992652893066) (2424,3.4175407886505127)* (1097,3.3914923667907715) (3552,3.3709707260131836) (2858,3.35259747505188) (1569,3.348710536956787)* (3450,3.281093120574951) (1101,3.191051959991455) (2791,3.1514229774475098) (785,3.140864849090576)
2486: (2858,4.513760566711426) (1213,3.6651763916015625)* (34,3.378892183303833) (1244,3.3570032119750977)* (1136,3.154726028442383) (1193,3.141406774520874) (923,3.0700554847717285)* (3481,3.0357253551483154) (527,2.996192216873169) (1252,2.960038185119629) (246,2.9488344192504883) (1223,2.944850444793701) (3006,2.941580057144165) (1617,2.91355562210083) (1265,2.911057233810425) (2324,2.8916783332824707) (1,2.8633666038513184) (2064,2.808291435241699) (1080,2.769200325012207)* (2692,2.732048511505127)
2487: (1196,2.9200997352600098) (2028,2.167585849761963) (2858,1.989862084388733) (1240,1.978006362915039) (541,1.946096658706665) (1193,1.9387085437774658) (1214,1.9069849252700806) (912,1.8280632495880127) (110,1.7972949743270874) (1097,1.7890384197235107) (2762,1.7502142190933228) (919,1.6829407215118408) (2716,1.6379945278167725) (2791,1.6301734447479248) (1200,1.6272274255752563) (480,1.6115174293518066) (1259,1.6048190593719482) (1036,1.5377869606018066) (969,1.5343713760375977) (608,1.5304687023162842)
2489: (1721,3.7517361640930176) (3753,3.459683895111084) (110,3.4320476055145264) (3510,3.3687844276428223)* (2355,3.3446907997131348) (1,3.121122360229492) (3114,3.116748332977295) (1704,3.0487351417541504) (597,2.9966962337493896) (150,2.8874058723449707) (457,2.8389930725097656) (587,2.80035662651062) (3101,2.7247138023376465) (3499,2.715261936187744) (1213,2.699324131011963) (2997,2.6805005073547363)* (1393,2.6591482162475586) (3897,2.656435251235962)* (11,2.6409788131713867) (2791,2.597609043121338)*
2492: (919,2.8323628902435303) (1198,2.799199104309082)* (2858,2.6451265811920166) (1961,2.552638292312622) (17,2.466299533843994) (920,2.4138314723968506)* (2716,2.391589641571045) (1265,2.365373134613037) (2324,2.278991937637329) (1721,2.275934934616089) (1947,2.2734007835388184) (1674,2.2477235794067383) (1704,2.236915349960327) (2081,2.166883945465088) (110,2.150616407394409) (899,2.1400535106658936) (2762,2.138063907623291) (1,2.133026123046875) (1207,2.0978589057922363) (2028,2.071524143218994)
2496: (1250,4.660053730010986) (1214,4.169987678527832) (919,4.168545722961426) (1221,4.120968818664551) (1252,4.1087260246276855) (969,4.086882591247559) (1207,4.02323055267334) (1262,3.9736826419830322) (1204,3.927612781524658)* (903,3.78755521774292)* (1201,3.6935648918151855)* (1294,3.6719741821289062) (260,3.58223557472229) (111,3.537208318710327) (2944,3.519247055053711) (1276,3.5064003467559814)* (3468,3.4894778728485107) (3196,3.477661609649658) (2664,3.4356651306152344)* (1263,3.4316654205322266)
2501: (2997,4.423772811889648) (2706,3.5990395545959473) (2599,3.4768476486206055) (2396,3.1848607063293457) (2028,3.165771961212158) (608,3.060091018676758) (2987,3.039027214050293)* (913,2.994255542755127) (1136,2.985879898071289)* (2908,2.8788933753967285) (2700,2.815002918243408) (111,2.792510986328125) (1198,2.769434690475464) (908,2.7612974643707275) (296,2.7289814949035645) (3543,2.7274105548858643) (1259,2.7043888568878174) (3408,2.678438186645508) (919,2.6343350410461426)* (2712,2.572450637817383)
2506: (2020,3.736048698425293)* (1296,3.6185004711151123) (3072,3.348323345184326) (838,3.1391422748565674) (597,3.111311435699463) (1959,3.0793204307556152) (339,3.0525100231170654) (2671,3.0185766220092773) (1172,2.8715949058532715) (39,2.819135904312134)* (1088,2.7915687561035156) (3526,2.765629291534424) (1680,2.7455010414123535) (497,2.717311143875122) (2352,2.7041144371032715) (509,2.7009379863739014) (2125,2.6519105434417725)* (1393,2.633709669113159) (1259,2.631281852722168)* (11,2.598479747772217)
2507: (922,4.686948299407959)* (2333,4.549670219421387) (2908,4.520818710327148) (2599,4.448613166809082)* (1041,4.3758745193481445)* (1077,4.26328182220459) (1188,4.112888336181641)* (3543,4.104501724243164) (1225,4.020613670349121)* (903,3.908708095550537) (2076,3.879795551300049)* (3897,3.819647789001465) (32,3.8089494705200195)* (2248,3.8056559562683105) (1172,3.797724723815918) (345,3.789032220840454)* (1248,3.7763888835906982) (2065,3.746183395385742) (595,3.6934525966644287)* (342,3.6716299057006836)*
2529: (1028,5.888671875)* (2080,5.556121349334717)* (2078,5.1205949783325195) (1097,4.947638511657715) (594,4.804682731628418) (1032,4.767274856567383) (2,4.73308801651001) (480,4.6040940284729) (260,4.52641487121582)* (1907,4.504060745239258)* (3034,4.467259407043457) (919,4.418625354766846) (2100,4.2704854011535645)* (1380,4.232651710510254) (1994,4.175092697143555) (2003,4.117237091064453) (592,4.0485124588012695)* (2628,4.040416717529297) (2565,4.00088357925415)* (316,3.989060401916504)
2533: (1721,5.568445682525635) (3255,3.9997398853302)* (2125,3.8071188926696777) (3247,3.768153429031372) (586,3.7057509422302246) (2581,3.6443979740142822) (62,3.4372615814208984) (1835,3.305363416671753) (150,3.223726272583008) (2881,3.192838191986084) (3,3.1721973419189453) (3450,3.1382224559783936) (317,3.0986886024475098) (852,3.0915095806121826) (1088,3.0702974796295166) (17,3.066206455230713) (838,3.052947759628296) (1042,3.016706943511963)* (3269,2.9905004501342773)* (1588,2.9652600288391113)
2537: (1259,4.144448280334473) (1230,3.9264655113220215) (1234,3.8532583713531494) (2396,3.8024115562438965) (2762,3.784527063369751) (1276,3.7588934898376465) (1193,3.703653335571289) (3114,3.701730728149414) (1270,3.575860023498535)* (34,3.5279805660247803)* (260,3.5278406143188477)* (969,3.455246925354004) (1221,3.341857433319092)* (1784,3.3195278644561768)* (3481,3.2634084224700928) (923,3.244572639465332)* (903,3.2353403568267822) (1394,3.1856555938720703)* (1207,3.1625988483428955)* (457,3.034703016281128)*
2541: (1569,5.478250503540039) (597,5.400207996368408) (2724,4.927256107330322) (2671,4.735520362854004) (1485,4.413036823272705) (500,4.348952293395996) (586,4.302534103393555) (3247,4.168379306793213) (2431,4.154384136199951) (3450,4.038032531738281) (2694,3.8592543601989746)* (830,3.7391183376312256) (587,3.704317092895508) (317,3.6689531803131104) (1042,3.5811398029327393) (1020,3.567729949951172) (2302,3.5617222785949707) (344,3.5041775703430176) (2485,3.4791641235351562) (2572,3.455714702606201)
2544: (913,6.577365875244141)* (912,5.727025508880615)* (923,5.575793266296387)* (1244,5.507575988769531) (1254,5.007296562194824)* (541,4.915565490722656) (2289,4.747442245483398) (1947,4.676778793334961) (3543,4.646706581115723)* (1299,4.562351226806641) (909,4.545068740844727) (1269,4.54505729675293)* (1228,4.498528480529785)* (1234,4.483489513397217)* (1217,4.478751182556152)* (920,4.456780910491943) (2664,4.422186851501465) (1944,4.396065711975098) (3363,4.356401443481445) (1221,4.352787494659424)*
2545: (2028,3.8835418224334717) (3578,3.53739857673645) (2858,3.531318426132202) (110,3.389698028564453) (2762,3.1938486099243164) (3916,2.7244081497192383) (3114,2.57334303855896) (260,2.479984998703003) (2396,2.4493818283081055) (3897,2.402677059173584) (3755,2.398297071456909) (1721,2.3680546283721924) (480,2.3338468074798584) (2571,2.292330741882324) (3948,2.256629467010498) (150,2.1898317337036133) (3513,2.159409523010254) (3952,2.0821175575256348) (608,2.0643229484558105) (3512,2.0217180252075195)
2547: (608,5.126036167144775)* (1230,5.006478786468506) (913,4.947999000549316)* (1617,4.696893692016602)* (1221,4.45831298828125) (111,4.265266418457031) (1952,3.831221342086792)* (3095,3.8105554580688477) (903,3.79197359085083) (1250,3.7408955097198486) (1248,3.6175155639648438) (1084,3.5539941787719727) (1254,3.5218029022216797)* (2997,3.4836668968200684) (1233,3.3332343101501465) (1212,3.3200135231018066) (3683,3.277036190032959)* (930,3.2677297592163086)* (1269,3.2135534286499023) (1104,3.1563336849212646)
2554: (527,2.988363265991211)* (608,2.867614269256592) (2997,2.793403148651123) (2762,2.723761558532715) (1193,2.335618734359741) (1704,2.2358508110046387) (2028,2.1789140701293945) (3578,2.119039535522461) (2324,2.0965840816497803) (296,2.0912961959838867) (265,2.0405116081237793) (1293,2.0004515647888184) (3897,1.988887071609497) (1198,1.9677530527114868) (1617,1.9530168771743774) (912,1.9509992599487305) (2908,1.937213659286499) (2336,1.9371236562728882) (1296,1.9164060354232788) (110,1.9017075300216675)
2562: (480,4.233405113220215) (1196,3.971543550491333)* (1356,3.893247365951538) (2916,3.7510366439819336) (1240,3.745025157928467) (1214,3.6669039726257324) (741,3.5936641693115234) (1907,3.575545310974121) (2355,3.5575919151306152) (2761,3.3871498107910156) (1215,3.36645245552063) (1374,3.3471035957336426) (110,3.205639600753784) (1097,3.2004284858703613)* (2393,3.1284804344177246) (1653,3.109781265258789) (1967,3.1088638305664062) (2005,3.098090887069702) (3578,3.0949859619140625) (1376,3.084869861602783)
2567: (1214,4.761444568634033) (527,4.320425987243652) (110,4.275413990020752)* (1221,3.8279898166656494) (1090,3.8152260780334473) (1617,3.7684743404388428) (1262,3.613614559173584) (1204,3.531430244445801) (912,3.488828182220459) (3471,3.334552526473999) (3702,3.251493215560913)* (1206,3.2394981384277344)* (1299,3.2324862480163574) (480,3.1976852416992188) (2194,3.193027973175049) (969,3.1848294734954834) (1225,3.153409481048584) (2951,3.1481800079345703)* (3703,3.1182641983032227) (919,3.114053726196289)*
2581: (1193,4.25394344329834) (1674,4.249244689941406)* (920,4.122973442077637)* (17,4.107091903686523) (903,3.9973387718200684)* (923,3.9354634284973145)* (1267,3.8200135231018066) (1207,3.7611961364746094)* (2396,3.696096420288086)* (3176,3.6496024131774902)* (930,3.6006412506103516) (47,3.5825133323669434) (110,3.357203722000122) (800,3.27786922454834) (1673,3.2252347469329834) (1092,3.2216482162475586) (265,3.1855807304382324) (1950,3.1608474254608154)* (899,3.1424832344055176) (1944,3.138686418533325)
2582: (1148,2.9412941932678223)* (2997,2.7461321353912354) (745,2.547976016998291) (1,2.402682304382324) (3481,2.204289674758911) (2599,2.1544909477233887) (1136,2.1245713233947754)* (3114,2.03074312210083) (1288,1.9864013195037842) (3897,1.949256420135498) (2324,1.8813672065734863) (608,1.8796420097351074) (2396,1.8213196992874146) (296,1.7571953535079956) (2791,1.733901858329773) (1265,1.7321182489395142) (1641,1.7157832384109497) (1188,1.7149534225463867) (1394,1.6841561794281006) (527,1.6799566745758057)
2589: (1193,3.798868417739868) (1221,3.5649023056030273) (1617,3.559386730194092)* (111,3.5265536308288574)* (1704,3.230381488800049) (2762,3.173964262008667) (1089,3.106478691101074) (2396,3.097648859024048) (908,3.083024024963379)* (3481,3.0776495933532715) (1136,3.053703784942627) (1394,3.040496349334717)* (1230,3.0244672298431396) (2289,2.9685044288635254) (1196,2.877262592315674)* (110,2.8378078937530518) (36,2.8223657608032227)* (923,2.811145305633545)* (1206,2.8106322288513184) (1923,2.762812852859497)
2590: (1407,6.017448902130127)* (1997,5.780144214630127)* (2710,5.3967437744140625) (1200,4.181219100952148) (3016,3.9880664348602295) (1974,3.7143149375915527)* (3793,3.6995584964752197) (3300,3.658724308013916) (2617,3.62654447555542) (2716,3.5959391593933105)* (2513,3.5925230979919434) (1089,3.4838409423828125) (2454,3.4639296531677246) (1748,3.3114590644836426) (1130,3.3036036491394043) (1327,3.286630630493164) (3578,3.284527540206909) (3576,3.218332290649414) (3535,3.16909122467041)* (1222,3.0992588996887207)*
2602: (908,1.6318321228027344) (923,1.6050946712493896) (2028,1.5939252376556396) (1213,1.5779998302459717) (34,1.505116581916809) (2858,1.478979468345642) (296,1.4588704109191895) (1233,1.4073376655578613) (912,1.3669357299804688) (1617,1.3650858402252197) (1193,1.323953628540039) (1267,1.3071212768554688) (36,1.2665233612060547) (3095,1.253068447113037) (111,1.2518234252929688) (1252,1.245832920074463) (3006,1.2445459365844727) (3196,1.2290112972259521) (1203,1.2258561849594116) (1952,1.194907546043396)
2606: (2997,2.917448043823242) (3543,2.7398133277893066) (3671,2.735379695892334)* (1294,2.7240705490112305)* (1079,2.667940139770508) (1265,2.653406858444214) (2791,2.6339006423950195) (1234,2.600525379180908)* (1244,2.567889928817749) (1136,2.4635937213897705)* (1235,2.442169427871704) (1394,2.4072790145874023)* (1270,2.358372211456299)* (1276,2.308098554611206)* (3114,2.2873716354370117)* (1288,2.2027997970581055) (1077,2.1713991165161133)* (2352,2.1071786880493164) (905,2.098809242248535) (913,2.0393848419189453)
2609: (1343,4.341888427734375)* (1267,4.177875518798828) (3176,3.9220364093780518) (1213,3.919461250305176) (111,3.8272268772125244) (1625,3.7572805881500244) (1249,3.5546422004699707) (913,3.5423970222473145) (454,3.5109968185424805)* (1193,3.374586582183838) (3735,3.179468870162964) (1221,3.0529963970184326) (293,3.0427184104919434) (800,3.037735939025879)* (1284,3.020416021347046) (1952,2.983370780944824) (930,2.982334613800049)* (1212,2.9531588554382324) (350,2.9061131477355957)* (474,2.8912835121154785)
2611: (1270,4.674181938171387)* (1259,4.40574836730957) (527,4.277209758758545) (2700,3.7779412269592285) (608,3.715418577194214) (1221,3.6930668354034424)* (541,3.669867515563965) (3552,3.6562507152557373)* (1517,3.55830454826355) (150,3.4773731231689453) (1136,3.4714107513427734) (3147,3.4407966136932373) (2355,3.4388480186462402) (2997,3.414632558822632) (1961,3.401705026626587)* (2797,3.304990291595459)* (3114,3.2906501293182373) (1673,3.2635016441345215) (1242,3.213486671447754) (3471,3.143669366836548)
2631: (1230,3.709023952484131) (3671,3.6147170066833496)* (2396,3.5359721183776855) (1265,3.43951416015625) (3363,3.3708701133728027) (2791,3.3194313049316406) (1234,3.2860193252563477) (1,3.2752795219421387) (2080,3.2409019470214844) (1079,3.231398582458496)* (955,3.1908183097839355) (1035,3.006495714187622) (2918,2.982898473739624) (1394,2.9345784187316895) (1270,2.933004140853882) (1288,2.909566879272461) (969,2.8800859451293945) (916,2.863321304321289) (3114,2.8293094635009766) (34,2.8275508880615234)
2638: (2028,4.321444511413574) (1270,4.050303936004639) (1090,3.964066982269287)* (1259,3.790379524230957) (1097,3.7592825889587402)* (1213,3.666952610015869)* (1240,3.6299431324005127)* (3210,3.4967098236083984) (1704,3.419482469558716) (2791,3.361393928527832) (1200,3.255488872528076)* (1265,3.2178726196289062) (1220,3.1933603286743164)* (1222,3.1892051696777344) (457,3.107325792312622) (1234,3.0976834297180176)* (2858,3.094376564025879) (1258,3.0545036792755127) (150,3.0482468605041504) (2915,3.0340681076049805)
2641: (2716,5.2793354988098145) (2028,5.088522911071777) (3578,5.067468643188477)* (1090,4.160205841064453)* (1036,4.138193130493164)* (1704,4.114311218261719)* (480,3.891388416290283) (1673,3.7675671577453613) (2571,3.6807749271392822)* (1721,3.676445722579956) (1200,3.6711559295654297) (2000,3.5900373458862305) (2797,3.5712075233459473) (2700,3.554823398590088) (2712,3.5055441856384277)* (2908,3.479724407196045) (785,3.459012985229492) (1206,3.4019370079040527) (1994,3.397562026977539) (2355,3.3890347480773926)
2656: (3753,5.242884159088135)* (3510,4.369892120361328)* (3578,3.7463927268981934) (733,3.7113664150238037) (3755,3.6096034049987793) (1721,3.571098804473877)* (11,3.568845510482788) (648,3.540471076965332) (597,3.473783254623413) (2688,3.4615087509155273) (2006,3.4510860443115234) (2762,3.402493953704834) (2724,3.3811328411102295) (2028,3.310100793838501)* (736,3.2214276790618896) (3916,3.1849923133850098)* (2424,3.1646907329559326) (2671,3.1640748977661133) (1552,2.893195629119873) (1036,2.8303678035736084)
2666: (1784,3.512697458267212) (1704,3.4552266597747803) (34,3.236454486846924)* (2762,3.151888847351074) (1270,3.0551629066467285)* (1721,3.020383596420288) (2324,2.986555337905884) (296,2.7957799434661865) (3408,2.7709851264953613) (1213,2.6989798545837402) (1923,2.6901636123657227) (2918,2.662804126739502) (110,2.6397621631622314)* (2268,2.559746026992798)* (2997,2.551687002182007) (2355,2.5212321281433105) (3753,2.5058956146240234) (1393,2.5032358169555664) (3255,2.478170394897461)* (1617,2.4237844944000244)
2679: (1265,4.511368751525879) (2716,4.27046537399292) (2080,4.207914352416992) (34,4.099529266357422) (913,4.0751051902771) (1947,3.996523857116699) (2918,3.978217124938965)* (527,3.9278812408447266)* (2355,3.9157874584198) (608,3.90657114982605)* (2987,3.8951809406280518) (1148,3.8012771606445312) (903,3.6789379119873047) (745,3.6557703018188477) (2797,3.647305488586426)* (2571,3.5980007648468018) (2324,3.5550341606140137) (1079,3.508645534515381)* (1288,3.406320810317993) (1207,3.386664867401123)*
2688: (2762,3.865647077560425)* (1,3.753941535949707)* (2706,3.5207529067993164)* (1270,3.373973846435547) (1198,3.3628673553466797)* (2716,3.2258758544921875) (2791,3.0725817680358887) (1923,3.0417869091033936) (2997,3.0386176109313965) (296,2.963524580001831) (3408,2.8981552124023438) (2700,2.8526768684387207) (1265,2.824540138244629)* (2355,2.8054776191711426) (3510,2.7537357807159424) (2396,2.664163112640381) (1136,2.6366262435913086)* (1721,2.6304831504821777) (3948,2.6238560676574707)* (480,2.6132044792175293)
2691: (1196,5.87932014465332)* (1214,5.683123588562012)* (2019,4.02986478805542) (1221,3.98789119720459)* (1208,3.915112018585205)* (3793,3.856276750564575)* (110,3.807199478149414)* (745,3.795924186706543)* (1225,3.7769460678100586)* (1748,3.7726712226867676) (1097,3.7123169898986816)* (1270,3.677879810333252)* (2987,3.3815712928771973) (3481,3.3666419982910156)* (29,3.353163242340088)* (919,3.350226402282715)* (1267,3.337759017944336) (1250,3.302375316619873)* (720,3.299102783203125)* (2599,3.2829577922821045)
2699: (1035,4.358088493347168) (595,4.301518440246582) (899,4.292189121246338)* (2080,3.9717464447021484) (2565,3.9277024269104004)* (364,3.7263383865356445) (2081,3.5734264850616455) (594,3.556647300720215) (920,3.4707894325256348)* (1721,3.410983085632324) (588,3.3446855545043945) (2096,3.106250762939453) (3061,2.922497272491455)* (527,2.902592420578003)* (2078,2.8156824111938477) (953,2.814650774002075) (2085,2.789372444152832) (2396,2.782559871673584) (3408,2.7622017860412598) (1951,2.7035439014434814)
2700: (608,4.796049118041992)* (2762,4.426269054412842) (6,4.028777122497559) (1704,3.977351188659668)* (110,3.9281787872314453) (3499,3.779480457305908)* (527,3.6929502487182617) (3006,3.577702283859253) (1343,3.4727137088775635) (1625,3.432663917541504)* (3176,3.395810127258301)* (1407,3.3649187088012695) (1645,3.3597147464752197) (2890,3.334531307220459) (36,3.2598962783813477) (866,3.192856550216675) (1393,3.127810478210449)* (1179,3.121171236038208)* (778,3.1085007190704346) (2706,3.060251235961914)
