userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (15,9.564868927001953)* (265,7.842133522033691) (11,7.7507147789001465)* (48,7.692915439605713)* (276,7.542703151702881) (215,7.536496162414551) (324,7.4392218589782715) (53,7.2664008140563965)* (170,7.199534893035889)* (300,7.1163434982299805) (279,7.032366752624512) (674,6.946537017822266) (107,6.810775279998779)* (169,6.754537582397461)* (203,6.595279693603516) (262,6.584053993225098) (1187,6.4734086990356445) (371,6.444366455078125) (632,6.346616268157959) (661,6.319310188293457)
539: (15,2.791985511779785) (167,2.6056928634643555) (215,2.1613986492156982) (324,2.152261734008789) (67,2.1434531211853027) (48,2.1190543174743652) (168,2.1091272830963135) (4,2.029024362564087) (131,1.9981765747070312) (159,1.9885210990905762) (17,1.9872024059295654) (81,1.9840370416641235) (674,1.9770450592041016) (113,1.9323309659957886) (364,1.899660587310791) (18,1.8831264972686768) (35,1.849398136138916) (173,1.8285257816314697) (107,1.8115190267562866) (366,1.7632195949554443)
540: (48,5.308385848999023) (211,4.931310176849365)* (237,4.852316379547119) (142,4.790626525878906) (215,4.719674110412598) (952,4.680368423461914)* (382,4.671778678894043) (168,4.573184490203857) (54,4.558685779571533) (167,4.499904632568359) (269,4.489398002624512) (11,4.4390435218811035) (2328,4.400346755981445) (18,4.332612037658691) (1180,4.297757148742676) (72,4.225706577301025) (3862,4.203402996063232) (1192,4.194363117218018) (2862,4.193872451782227) (131,4.184659957885742)
541: (101,9.728737831115723)* (440,9.453521728515625)* (113,9.079978942871094)* (130,9.028190612792969) (981,9.000337600708008)* (117,8.959836959838867)* (80,8.866388320922852) (347,8.859066009521484) (136,8.75064468383789)* (6,8.73150634765625)* (34,8.694811820983887)* (9221,8.633763313293457) (1027,8.359206199645996) (102,8.195180892944336)* (2012,8.187858581542969)* (359,8.07018756866455)* (2173,8.063602447509766)* (23,7.993450164794922)* (472,7.958735942840576)* (758,7.949852466583252)*
542: (519,7.934203147888184)* (670,7.766897201538086) (142,7.635886192321777) (364,7.4824724197387695) (1207,7.3698625564575195) (163,7.299310684204102)* (493,7.217276573181152) (1192,7.168883323669434) (87,7.147822380065918)* (94,6.943099021911621) (136,6.936716079711914)* (1186,6.87950325012207)* (2485,6.8742170333862305) (240,6.863034725189209) (952,6.794344902038574) (9,6.727858066558838) (2862,6.700516223907471) (1255,6.647336959838867) (2220,6.5679731369018555) (2150,6.497459411621094)
543: (1987,11.906770706176758)* (434,11.835348129272461)* (675,9.837102890014648)* (1832,9.762855529785156) (1972,9.405781745910645) (210,9.255321502685547) (743,8.841854095458984) (304,8.7252197265625)* (48,8.620779037475586) (778,8.550312042236328)* (8815,8.098243713378906) (50,8.061327934265137) (671,7.900228977203369)* (1892,7.750699043273926) (8853,7.7240166664123535) (141,7.716840744018555) (366,7.638917446136475) (773,7.5904436111450195) (1373,7.525917053222656) (681,7.357673645019531)
544: (136,7.499202728271484) (147,7.40027379989624) (4540,7.3961405754089355)* (3542,6.860601425170898) (560,6.69478178024292)* (896,6.575020790100098) (2830,6.500087738037109) (434,6.4481048583984375)* (185,6.266488075256348) (4517,6.2553391456604) (493,6.04566764831543) (3141,5.998198509216309) (4489,5.991457462310791) (5698,5.985872745513916) (3874,5.930345058441162) (3310,5.922607421875) (561,5.845030784606934) (594,5.835734844207764) (178,5.693666934967041) (5644,5.643192291259766)
545: (366,11.002175331115723) (360,10.61156940460205)* (367,9.859037399291992)* (159,9.737174034118652)* (922,9.689546585083008)* (168,9.621174812316895)* (717,9.565391540527344)* (11,9.554285049438477) (131,9.542082786560059)* (210,9.111251831054688) (207,9.019903182983398)* (670,8.926860809326172) (218,8.753583908081055)* (162,8.734811782836914)* (0,8.579980850219727)* (4,8.542757034301758) (354,8.541826248168945) (1353,8.532410621643066)* (14,8.487090110778809) (13,8.379149436950684)
546: (15,6.602898597717285) (48,5.59475040435791)* (215,5.387084484100342) (159,5.3639326095581055) (168,5.167991638183594)* (366,5.046400547027588) (324,4.946789741516113) (142,4.601800918579102) (107,4.5347580909729) (674,4.478919982910156) (173,4.447932720184326) (312,4.403383731842041) (211,4.390633583068848) (35,4.346828460693359) (101,4.334741592407227)* (4,4.330942630767822) (162,4.2665557861328125) (170,4.241277694702148) (135,4.190882682800293) (276,4.1632866859436035)
547: (15,7.742098808288574) (167,6.764741897583008)* (81,6.429753303527832) (159,6.051370620727539) (419,5.97537899017334)* (48,5.960871696472168)* (168,5.804466247558594) (67,5.776356220245361) (131,5.674314498901367) (276,5.6581902503967285)* (1192,5.591649532318115) (324,5.565034866333008) (95,5.505643844604492)* (53,5.495752334594727)* (2220,5.3953447341918945) (371,5.36163330078125) (170,5.31887149810791) (115,5.261251449584961) (130,5.242832183837891)* (697,5.216695785522461)*
548: (697,13.069751739501953)* (459,11.366935729980469)* (421,10.229788780212402)* (2821,9.924005508422852)* (301,9.477530479431152)* (12365,9.328625679016113)* (2181,9.302431106567383) (226,9.206524848937988)* (10156,9.135635375976562) (541,8.977091789245605)* (12380,8.954998016357422)* (5877,8.91120719909668)* (3332,8.873360633850098)* (1813,8.824056625366211)* (715,8.732377052307129)* (668,8.704803466796875) (3138,8.640432357788086) (1311,8.546693801879883)* (5321,8.540925979614258)* (2932,8.417604446411133)
549: (0,7.527417182922363) (364,7.463021755218506) (226,7.0939836502075195)* (423,6.831770896911621)* (420,6.717217922210693) (632,6.676565170288086) (359,6.418750762939453)* (413,6.368573188781738) (15,6.333052635192871)* (1940,6.1913676261901855) (199,6.1633477210998535)* (85,6.129711627960205) (440,6.056573867797852) (1826,5.926578521728516) (746,5.900598049163818) (1949,5.8343610763549805) (11,5.782589912414551) (668,5.776485443115234) (2932,5.753510475158691) (207,5.749946117401123)*
550: (512,6.96324348449707) (15,6.72257661819458) (136,6.417959213256836) (493,6.299101829528809) (560,5.722134590148926) (147,5.716019153594971) (2069,5.696137428283691) (67,5.586153984069824) (519,5.582244873046875) (168,5.447551727294922) (172,5.343404293060303) (592,5.318307399749756) (185,5.2463603019714355) (159,5.185227394104004) (1273,5.184885501861572) (107,5.154009819030762) (2026,5.144754886627197) (434,5.140531539916992)* (302,4.940852165222168)* (167,4.9262847900390625)
551: (2673,8.485454559326172) (3141,8.230366706848145) (1891,8.174360275268555)* (2328,7.866640090942383) (2677,7.435465335845947) (941,7.261580467224121) (1305,7.067035675048828) (6670,7.06419563293457)* (2656,6.930741310119629) (2755,6.896000862121582) (7042,6.838457107543945) (561,6.836080551147461)* (3344,6.805702209472656)* (3908,6.735045433044434) (806,6.6239914894104)* (3430,6.619917392730713)* (11261,6.610890865325928)* (3346,6.587988376617432)* (3347,6.553528785705566) (5050,6.4974470138549805)
552: (519,7.449601173400879) (419,7.345976829528809) (1187,7.066161155700684) (147,6.713076591491699) (131,6.670166015625) (1813,6.5326337814331055) (89,6.342453956604004) (1186,6.254444122314453) (512,6.191390514373779) (190,6.1579999923706055) (1209,6.1001811027526855) (107,6.0958781242370605) (2069,5.929754257202148) (686,5.8169097900390625) (2086,5.6958723068237305) (4661,5.563122749328613) (2343,5.561664581298828) (862,5.362522125244141) (700,5.350888729095459) (1134,5.262707710266113)
553: (493,9.076305389404297)* (707,9.018972396850586)* (419,8.996940612792969) (1267,8.494353294372559) (425,8.144144058227539) (2058,8.008098602294922) (95,7.948077201843262)* (89,7.905933856964111)* (498,7.8560991287231445) (136,7.494396686553955)* (1260,7.474339962005615) (842,7.442744255065918)* (1027,7.430045127868652) (85,7.392009735107422) (1228,7.366672039031982) (2170,7.3380279541015625) (147,7.29229211807251) (1061,7.273983478546143)* (1759,7.26695442199707) (1429,7.191075801849365)*
554: (48,5.019441604614258) (1180,4.686481475830078)* (2328,4.591617584228516) (312,4.56437873840332) (269,4.505036354064941) (18,4.473437786102295) (54,4.423827171325684) (142,4.310535430908203) (131,4.244876384735107) (115,4.17604398727417) (9,4.168948173522949) (270,4.126608371734619) (11,4.075784683227539) (382,4.06535530090332) (2862,4.058318138122559) (16,4.036415100097656) (211,3.967860221862793) (237,3.967681884765625) (215,3.9175639152526855) (13,3.9038689136505127)
555: (575,7.717272758483887) (3280,7.361695766448975) (2143,6.690813064575195) (185,6.6435651779174805)* (20688,6.313596725463867) (2199,6.2548441886901855) (1294,6.178987979888916) (1062,6.16826868057251)* (941,6.130382061004639) (3346,6.090386867523193) (2997,6.024323463439941) (3270,6.014775276184082) (3347,5.974146842956543) (512,5.947530746459961) (897,5.943208694458008)* (906,5.941761016845703) (2132,5.91300106048584) (2973,5.907219886779785) (2609,5.902793884277344) (1144,5.741979122161865)
556: (324,9.838645935058594) (34,9.545296669006348)* (139,9.412616729736328)* (1027,9.144346237182617)* (8,8.987183570861816) (373,8.495237350463867) (560,8.410368919372559) (185,8.315279960632324)* (366,8.170984268188477)* (385,8.112875938415527) (398,8.0064115524292) (371,7.989500045776367) (164,7.865304946899414)* (818,7.858267784118652) (1989,7.831951141357422) (530,7.825946807861328) (870,7.81449031829834)* (632,7.7697978019714355) (344,7.712902545928955)* (176,7.702817916870117)
558: (1242,10.05935287475586)* (92,9.440065383911133)* (169,8.986379623413086)* (99,8.54155158996582)* (101,8.337570190429688)* (53,8.213991165161133)* (129,7.889954090118408) (20672,7.759696006774902) (4,7.745438098907471) (84,7.545743942260742) (4744,7.538087844848633)* (415,7.491469860076904)* (215,7.469536304473877) (123,7.387927055358887)* (87,7.377956390380859)* (345,7.302934169769287) (90,7.151511192321777) (440,7.104487419128418) (71,7.08978796005249)* (148,7.075636863708496)*
560: (135,4.013153076171875) (279,3.7816030979156494) (48,3.7522761821746826) (167,3.7159857749938965) (159,3.572132110595703) (173,3.380129337310791) (170,3.3748769760131836)* (115,3.3514866828918457) (168,3.2723441123962402) (54,3.2385640144348145) (262,3.17941951751709) (67,3.129330635070801) (113,3.1160969734191895) (174,3.0833845138549805)* (215,3.079631805419922) (11,3.062211751937866) (300,3.0438528060913086) (324,3.0052382946014404) (90,2.9626922607421875) (123,2.9494833946228027)*
562: (512,7.403736114501953) (906,7.1574530601501465) (265,7.010460376739502)* (459,6.781738758087158) (178,6.702767848968506)* (1186,6.369338035583496)* (189,6.343634605407715) (368,6.33542537689209) (1626,6.284181118011475) (183,6.183652877807617) (2956,6.091238975524902)* (670,6.019962787628174) (174,5.981274127960205) (932,5.979116439819336) (2328,5.824316024780273)* (54,5.813058853149414) (172,5.79290771484375)* (1224,5.78414249420166)* (1172,5.7822465896606445) (82,5.78101921081543)
563: (215,6.2912774085998535) (48,5.899775505065918) (15,5.873998165130615) (592,5.831941604614258) (17,5.610352516174316) (11,5.610278606414795) (167,5.557635307312012) (159,5.378029823303223) (131,5.276361465454102) (168,5.236990928649902) (4,5.192218780517578)* (18,5.182948112487793) (67,5.1506242752075195) (142,5.075394153594971) (312,4.954488754272461) (9,4.9467549324035645) (185,4.8395867347717285) (669,4.789525985717773) (560,4.778140544891357)* (366,4.698084831237793)
564: (642,8.025205612182617) (2779,7.782077789306641) (1144,7.726727485656738) (625,7.6741204261779785) (941,7.226589679718018) (560,7.22240686416626) (2790,7.178772926330566)* (640,7.066194534301758) (3280,6.989044189453125) (512,6.976630687713623) (2137,6.6280317306518555)* (1303,6.61390495300293) (1553,6.491671562194824) (1100,6.463970184326172) (806,6.457012176513672)* (3346,6.342628479003906)* (5832,6.146851062774658) (1091,6.139223098754883) (1093,6.012170314788818) (942,6.009937286376953)
565: (3548,13.36676025390625) (3721,12.152336120605469)* (5324,11.20933723449707)* (5217,11.204282760620117) (4561,11.140401840209961) (3280,11.060172080993652)* (2653,10.998974800109863) (3204,10.893562316894531) (3692,10.230100631713867)* (3138,10.193246841430664)* (3350,10.038785934448242)* (3236,10.035649299621582)* (12065,9.9219388961792)* (664,9.744894027709961) (4504,9.706048011779785) (4895,9.675071716308594)* (12979,9.66389274597168) (12241,9.536294937133789)* (4544,9.533559799194336)* (3808,9.524606704711914)*
566: (81,5.420124530792236) (142,5.36223840713501) (265,5.246595859527588) (167,5.140218257904053) (130,5.12349271774292) (875,5.113381385803223) (382,4.936116695404053) (215,4.929281234741211) (364,4.903264999389648)* (669,4.897397994995117) (87,4.878000259399414) (94,4.843948841094971) (952,4.7965989112854) (276,4.766535758972168) (707,4.724100112915039) (219,4.72154426574707) (670,4.63872766494751) (170,4.607508659362793) (136,4.6073760986328125) (360,4.582695007324219)
568: (15,6.2467193603515625)* (158,5.9600982666015625) (168,5.941165924072266)* (439,5.626274108886719) (131,5.550024032592773) (263,5.429950714111328) (676,5.217230796813965) (1273,5.19876766204834) (119,5.125049591064453) (63,5.032445907592773) (167,4.970073223114014) (107,4.966303825378418)* (13,4.939037322998047) (54,4.8832807540893555) (14,4.86701774597168) (2287,4.820690155029297) (2244,4.787141799926758) (355,4.7729997634887695) (240,4.720351219177246) (2844,4.701411724090576)
569: (219,10.097949981689453)* (4884,9.902437210083008) (952,9.68949031829834)* (1192,9.620742797851562) (209,9.551718711853027) (276,9.24160099029541) (3445,9.227285385131836) (4902,8.947040557861328)* (3862,8.525803565979004)* (3738,8.518654823303223) (2056,8.348487854003906)* (159,8.318336486816406)* (553,8.261186599731445) (5086,8.155982971191406) (821,8.008626937866211) (368,7.957006454467773)* (1242,7.846415042877197) (4167,7.764512062072754) (664,7.757386207580566) (170,7.596993923187256)
570: (15,4.119678020477295) (168,3.9021129608154297) (13,3.895028591156006) (48,3.766432762145996) (11,3.530931234359741) (14,3.504281759262085) (215,3.443535804748535) (276,3.440246105194092) (54,3.4362258911132812)* (113,3.398130416870117) (159,3.3675718307495117) (131,3.345686197280884) (135,3.332657814025879) (173,3.313960552215576) (115,3.243703842163086) (279,3.2341673374176025) (142,3.155752658843994) (107,3.1154956817626953) (72,3.084932565689087) (922,3.076199531555176)
571: (81,3.92091965675354) (167,3.7666995525360107)* (721,3.726123332977295) (130,3.692017078399658) (15,3.6772279739379883) (707,3.6233627796173096) (520,3.5667877197265625) (1260,3.5624656677246094) (164,3.528714656829834) (2066,3.497619390487671) (855,3.463810682296753) (915,3.344208240509033) (546,3.342813491821289) (1267,3.3107333183288574) (17,3.2951269149780273) (990,3.2472164630889893) (722,3.160496711730957) (746,3.151765823364258) (512,3.1370580196380615) (11,3.089089870452881)
572: (15,5.834952354431152) (167,4.806188106536865) (1144,4.767197608947754) (48,4.674437046051025)* (67,4.370425701141357) (941,4.222777366638184) (560,4.188696384429932) (168,4.166181564331055) (575,4.128620147705078) (366,4.121936798095703) (806,3.956125259399414) (312,3.9276437759399414) (113,3.888902187347412) (298,3.767886161804199) (823,3.7555601596832275) (642,3.741008758544922) (101,3.7155237197875977) (922,3.6688120365142822) (147,3.662076950073242) (170,3.644379138946533)
573: (15659,10.058241844177246)* (9372,10.057028770446777) (5288,10.033784866333008) (5347,9.640295028686523) (5486,9.541131019592285)* (2667,9.224409103393555) (4627,9.156521797180176)* (9489,9.079360961914062) (3495,8.93702220916748) (8702,8.912191390991211) (8853,8.790215492248535)* (9747,8.785167694091797) (5458,8.521058082580566) (9746,8.476387023925781) (5362,8.465231895446777) (7548,8.405410766601562) (11895,8.344786643981934) (5072,8.342016220092773) (11600,8.341602325439453) (3527,8.334867477416992)
574: (512,10.829410552978516)* (1273,9.713888168334961)* (136,9.430999755859375)* (48,9.408635139465332) (147,9.391319274902344)* (919,8.863099098205566)* (707,8.771695137023926) (72,8.76667594909668) (360,8.654569625854492)* (1062,8.213534355163574)* (575,8.209821701049805)* (2026,8.11932373046875)* (2956,7.959629058837891)* (164,7.839280605316162)* (560,7.748125076293945)* (1207,7.695307731628418) (131,7.688813209533691) (1186,7.678932189941406) (172,7.677375793457031) (1305,7.624062538146973)*
575: (592,3.901585102081299) (560,3.872579574584961) (707,3.847177267074585) (185,3.7816338539123535) (153,3.74527907371521) (493,3.6976478099823) (136,3.5711488723754883) (512,3.5331687927246094)* (130,3.5328826904296875) (166,3.4734115600585938) (520,3.4222917556762695) (1267,3.378551483154297) (1063,3.267575979232788) (1278,3.2405507564544678) (1790,3.2385170459747314)* (164,3.224966287612915) (81,3.1884469985961914) (2609,3.1727914810180664) (15,3.168182134628296) (2066,3.1644046306610107)
576: (15,5.835740089416504) (159,4.452482223510742) (17,4.421492576599121) (324,4.173844814300537) (67,4.12493896484375) (48,4.044426918029785) (123,3.9737746715545654) (131,3.9034459590911865) (81,3.879392147064209) (9,3.872380256652832) (674,3.815392017364502) (173,3.8026838302612305)* (661,3.7580904960632324) (113,3.6640725135803223)* (592,3.6465766429901123) (364,3.589308738708496) (107,3.565265417098999) (721,3.5470428466796875) (366,3.5384647846221924) (135,3.5293850898742676)
577: (17,10.623388290405273)* (763,10.139646530151367) (131,9.890532493591309)* (167,9.766579627990723) (9,9.410774230957031) (1790,9.360763549804688) (1202,9.128850936889648) (302,9.09097957611084) (915,9.020646095275879) (721,8.420974731445312) (366,8.368875503540039) (2066,8.090194702148438) (136,8.010190963745117)* (820,7.946409225463867) (3655,7.911072731018066) (512,7.561203479766846)* (722,7.515021324157715) (1279,7.501399993896484)* (661,7.499251365661621) (3206,7.386496543884277)*
578: (276,10.442435264587402) (279,9.880496978759766) (265,9.768507957458496)* (366,9.44253921508789)* (258,9.37550163269043)* (661,8.917624473571777)* (266,8.867443084716797) (142,8.827616691589355)* (674,8.649056434631348)* (81,8.572419166564941) (364,8.352407455444336) (360,8.091559410095215)* (909,7.930325984954834) (211,7.904695987701416) (139,7.903250217437744) (54,7.847748756408691)* (237,7.765786647796631)* (1207,7.734348297119141)* (810,7.642829895019531)* (2932,7.475788116455078)
579: (131,10.15766716003418)* (371,9.833614349365234) (764,9.415246963500977) (1192,9.286660194396973)* (14,8.772228240966797)* (670,8.724638938903809) (159,8.65726089477539)* (354,8.267325401306152)* (1186,8.257156372070312) (276,7.909614562988281) (115,7.768038749694824) (1187,7.740659713745117) (2997,7.714625358581543) (327,7.699217796325684) (1813,7.691025733947754) (129,7.501029014587402) (263,7.461546897888184) (363,7.447410583496094) (119,7.3770294189453125) (302,7.311319828033447)
580: (1144,4.136513710021973) (185,3.8765316009521484) (941,3.631894588470459) (806,3.615055561065674) (190,3.517411708831787) (575,3.4975340366363525) (625,3.329728603363037) (642,3.32008957862854) (2131,3.3181183338165283) (2997,3.298496723175049) (932,3.2704837322235107) (168,3.134549856185913) (512,3.118053913116455) (560,2.9767632484436035) (131,2.934645652770996) (2114,2.9208924770355225) (1689,2.8861162662506104) (1553,2.8855767250061035) (1100,2.8554608821868896) (166,2.811685562133789)
581: (2862,5.64211893081665) (6091,5.3148298263549805) (2322,5.268965721130371) (3967,5.022481918334961) (4797,4.9604902267456055) (575,4.956402778625488) (2236,4.873208522796631)* (3344,4.867959976196289) (263,4.819648742675781) (1831,4.776762008666992) (2609,4.766812801361084) (2483,4.751167297363281) (3448,4.7020039558410645) (904,4.698381423950195) (2561,4.6791300773620605) (217,4.577169895172119) (7258,4.480924606323242) (4494,4.479331970214844) (642,4.430491924285889) (2321,4.407928466796875)
582: (101,8.485727310180664) (2101,8.278182983398438) (84,8.07517147064209)* (158,7.974069118499756)* (35,7.74628210067749) (364,7.67286491394043) (156,7.642882347106934) (2220,7.571784973144531) (54,7.55442476272583) (0,7.514689922332764)* (369,7.387730598449707)* (1192,7.332719802856445) (279,7.31168794631958) (82,7.281517028808594)* (922,7.213942527770996)* (4181,7.206380844116211)* (221,7.197509288787842)* (439,7.186470985412598) (810,7.179139614105225)* (115,7.1392364501953125)
583: (3029,2.8907108306884766) (3,2.3496885299682617) (2318,2.2660984992980957) (5090,2.1522021293640137) (243,2.0273380279541016) (3032,1.9967992305755615) (285,1.9693806171417236) (3403,1.8739557266235352) (7789,1.8609689474105835) (1456,1.8529199361801147) (16,1.818542242050171) (238,1.8169971704483032) (13,1.795410394668579) (2512,1.7921733856201172) (2871,1.7914924621582031) (3780,1.7907676696777344) (1337,1.7790881395339966) (2160,1.77839994430542) (18,1.7773560285568237) (5084,1.7570914030075073)
584: (139,9.924518585205078)* (173,9.386926651000977) (170,9.344956398010254) (142,9.229679107666016)* (168,8.783308029174805) (67,8.780110359191895) (113,8.654664039611816) (312,8.57882308959961) (226,8.519585609436035) (364,8.36689567565918) (211,8.297016143798828) (366,8.277307510375977) (810,8.272754669189453) (5,8.184905052185059)* (632,8.182064056396484) (665,8.135919570922852)* (17,8.077616691589355)* (363,7.95836067199707) (669,7.755037307739258) (440,7.647761344909668)
585: (29391,4.344820022583008) (29390,4.344820022583008) (29389,4.344820022583008) (35999,4.184243202209473) (27000,3.4531452655792236) (948,3.4259305000305176) (22247,3.127002000808716) (3463,3.0561747550964355) (10938,2.99224853515625) (37479,2.9300317764282227) (37480,2.9300317764282227) (21431,2.851461887359619) (33070,2.851461887359619) (33069,2.851461887359619) (33071,2.851461887359619) (20089,2.7587058544158936) (28932,2.745439052581787) (28936,2.745439052581787) (28934,2.745439052581787) (28935,2.745439052581787)
586: (147,7.0579962730407715)* (1972,6.907559394836426) (136,6.77241849899292) (1144,6.63832950592041) (302,6.343433380126953)* (313,6.334291458129883) (594,6.05803108215332) (15,5.755016326904297) (168,5.747058868408203) (2077,5.703891277313232) (48,5.688255310058594) (560,5.675234794616699) (172,5.619658470153809) (2069,5.593480587005615) (2627,5.522687911987305) (107,5.481245040893555) (862,5.40946102142334) (366,5.327019691467285) (419,5.181188583374023) (512,5.173006057739258)*
587: (167,8.100261688232422) (1260,8.090629577636719) (721,7.982270240783691) (851,7.894441604614258) (746,7.894275188446045) (520,7.700545310974121)* (707,7.645087242126465)* (130,7.474388122558594) (0,7.431734561920166) (1061,7.30945348739624)* (219,7.182811737060547)* (1336,7.042961120605469) (493,6.933566570281982) (952,6.9102702140808105) (2609,6.894357204437256)* (642,6.85064697265625) (153,6.8370208740234375)* (1018,6.820371627807617)* (1289,6.817648887634277) (18,6.804847717285156)
588: (15,3.2304494380950928) (81,2.750873327255249) (167,2.6375741958618164) (265,2.620866298675537) (159,2.592421531677246) (11,2.5823659896850586) (123,2.5623598098754883) (87,2.5450377464294434) (168,2.534151077270508) (215,2.410700559616089) (67,2.3933308124542236) (136,2.3807249069213867) (592,2.3376657962799072) (276,2.330763101577759) (1273,2.323326587677002) (661,2.31904935836792) (17,2.31581974029541) (9,2.3044514656066895) (875,2.2849061489105225) (173,2.28060245513916)
589: (237,4.638060569763184) (159,4.555211067199707) (142,4.510558128356934) (168,4.486725807189941) (48,4.381148338317871) (279,4.340335845947266) (15,4.203619003295898) (54,4.135939121246338) (670,4.057888507843018) (312,4.05713415145874) (211,4.041110992431641) (135,3.988626718521118) (14,3.956127643585205) (1186,3.9218249320983887) (11,3.8907217979431152) (167,3.880180835723877) (3445,3.863774299621582) (269,3.852752923965454) (35,3.821936845779419) (13,3.8011584281921387)
591: (1102,5.84957218170166) (1780,5.394736289978027) (7312,5.243480205535889)* (6703,5.217156410217285)* (2201,5.033717632293701) (4623,4.701929569244385) (300,4.691540718078613) (3814,4.6693315505981445) (1626,4.621448993682861) (1689,4.578406810760498) (5811,4.56799840927124) (190,4.558488368988037) (2141,4.483078956604004) (1977,4.445010185241699) (173,4.3958420753479) (3908,4.363101959228516) (3948,4.352115631103516) (6718,4.350078582763672) (814,4.33893346786499) (459,4.337047100067139)
592: (163,10.593820571899414)* (265,10.587821960449219)* (190,9.896554946899414)* (476,9.77083969116211) (15,9.335983276367188)* (168,8.794231414794922) (181,8.754866600036621) (182,8.728964805603027)* (20672,8.68082332611084) (842,8.653958320617676)* (519,8.358053207397461) (3381,8.346000671386719)* (907,8.34181022644043) (2757,8.318761825561523) (1813,8.308332443237305) (1186,8.248589515686035) (932,8.088152885437012)* (512,8.082088470458984)* (192,7.975910663604736) (69,7.920663833618164)
593: (16,3.5898890495300293) (15,3.5177502632141113) (17,3.429588794708252) (215,3.362715244293213) (168,3.3188529014587402) (11,3.309567451477051) (10,3.292573928833008) (131,3.123648166656494) (113,2.997119426727295) (48,2.9718892574310303) (123,2.9493327140808105) (13,2.891493797302246) (312,2.866603374481201) (340,2.8476364612579346) (82,2.8286328315734863) (54,2.816753387451172) (14,2.797900915145874) (4,2.796717643737793) (345,2.787503719329834) (9,2.748046636581421)
594: (2779,3.9718685150146484) (592,3.8130407333374023) (3280,3.6854515075683594)* (642,3.626221179962158) (2131,3.510354518890381) (1088,3.4220643043518066) (575,3.3974804878234863) (2143,3.3906657695770264) (941,3.3268697261810303) (640,3.2072839736938477) (2814,3.1904261112213135) (3344,3.1084423065185547) (185,3.089599132537842) (5832,3.0662918090820312) (2137,3.0222206115722656) (806,3.003964424133301) (1144,2.980043888092041) (2609,2.9679319858551025) (4096,2.9310250282287598) (1100,2.9180355072021484)
595: (67,8.608467102050781) (131,8.431476593017578) (215,8.02310848236084) (11,7.959441184997559) (1279,7.757449626922607) (312,7.536151885986328) (592,7.480517864227295) (107,7.3208417892456055) (136,7.233967304229736)* (371,7.193081855773926) (113,7.074552536010742) (81,7.067882537841797) (170,7.064405918121338)* (173,6.947504997253418) (298,6.940842151641846) (135,6.896286487579346) (17,6.802300453186035) (169,6.664185523986816) (265,6.607518196105957)* (35,6.562811374664307)*
597: (949,9.396860122680664) (869,9.382457733154297) (4486,9.301998138427734) (248,9.195509910583496)* (88,9.155963897705078) (6215,8.655996322631836)* (661,8.465356826782227) (16,8.413274765014648) (4230,8.32736587524414) (174,8.327075958251953) (54,8.087114334106445) (897,8.070904731750488)* (11534,8.068391799926758) (163,7.912563800811768) (58,7.8814239501953125) (964,7.572105407714844) (4359,7.477665901184082) (4952,7.398062229156494)* (4331,7.3423004150390625) (3930,7.29381799697876)
598: (167,6.9835920333862305) (382,6.938957691192627) (221,6.766957759857178) (721,6.419548034667969) (17,6.380193710327148) (1190,6.372734069824219) (3662,6.371254920959473) (697,6.37004280090332) (1196,6.257538318634033) (219,6.171488285064697) (4181,5.937694549560547)* (366,5.852442741394043) (3637,5.841545581817627) (2148,5.837821960449219) (832,5.826691627502441) (669,5.819861888885498) (0,5.736586093902588) (8,5.724837303161621)* (226,5.698548316955566) (421,5.694936275482178)
599: (952,3.815504789352417) (360,3.377471685409546) (312,3.2481212615966797) (1180,3.2410950660705566) (2328,3.234323024749756) (3862,3.1126341819763184) (1196,3.090378761291504) (382,3.0741076469421387) (211,3.0612597465515137) (18,3.056840419769287) (9,2.9638445377349854) (2862,2.9473719596862793) (237,2.9353280067443848) (669,2.9271063804626465) (72,2.921555519104004) (269,2.920940637588501) (11,2.875769853591919) (167,2.762967109680176) (270,2.758025646209717) (709,2.7146501541137695)
601: (952,7.545355796813965) (18,6.763764381408691) (72,6.642066955566406) (1273,6.613835334777832)* (904,6.579711437225342) (9,6.385400772094727) (2862,6.169477462768555) (862,6.152372360229492) (689,6.144203186035156) (512,6.006530284881592) (11,6.004796981811523)* (360,5.870138168334961) (2244,5.633309364318848) (67,5.619362831115723) (1192,5.549468040466309) (1196,5.522822856903076) (1891,5.516880989074707) (142,5.403855323791504) (263,5.349057674407959) (670,5.326253890991211)
602: (147,9.120104789733887) (185,9.119007110595703)* (136,8.877168655395508) (1144,8.414570808410645) (167,7.71038818359375)* (592,7.514122009277344) (134,7.464500427246094)* (48,7.355579376220703)* (1100,7.320795059204102) (1279,7.122274875640869) (298,7.035286903381348) (81,7.02418851852417)* (159,6.9700493812561035) (51,6.914620399475098) (95,6.868206024169922)* (539,6.855875015258789) (67,6.853431701660156) (419,6.841187477111816) (312,6.717136859893799)* (172,6.70930814743042)
