userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (364,0.9052807092666626) (1,0.9031793475151062)* (2081,0.6883383989334106) (34,0.6869486570358276) (318,0.6586472392082214) (2687,0.6478927135467529) (2096,0.6328665018081665) (1028,0.624160647392273)* (2761,0.5929548740386963) (1097,0.5847176313400269)* (3751,0.5744806528091431) (2087,0.5720150470733643) (2085,0.559831440448761) (1198,0.5575133562088013) (480,0.5541533827781677) (593,0.551691472530365) (1704,0.5502195954322815) (2018,0.538943886756897)* (2394,0.5385363101959229) (1029,0.531145453453064)*
1197: (50,0.90740966796875)* (908,0.7792075872421265) (2858,0.7519262433052063) (318,0.7308067083358765) (858,0.7210570573806763) (296,0.70988929271698) (3481,0.6845846772193909) (1219,0.6743735074996948) (903,0.6630090475082397) (589,0.6606531143188477) (527,0.6501951217651367) (1221,0.6469460129737854) (1213,0.6425384283065796) (2762,0.6214277744293213) (541,0.602314829826355) (3160,0.5788643956184387) (111,0.5730404853820801) (750,0.5665225982666016) (3893,0.5599198937416077)* (3408,0.5583699941635132)
1198: (3753,1.3280072212219238)* (480,0.9723078608512878) (2571,0.9067256450653076) (3510,0.8911623954772949) (2706,0.8490951061248779) (2628,0.8047226667404175) (457,0.7561007738113403) (2694,0.7557317018508911) (1036,0.7474542260169983) (733,0.743449330329895) (1196,0.7294691801071167) (648,0.7176973819732666)* (3409,0.6738604307174683) (3785,0.6737224459648132) (3916,0.6591036915779114) (3948,0.6575735807418823)* (318,0.6565108895301819) (1240,0.6495184898376465) (1580,0.6472764015197754) (3717,0.6471176743507385)
1199: (1307,0.8821861743927002)* (150,0.8197004795074463)* (1270,0.7693825960159302)* (1265,0.755237340927124) (356,0.7431679964065552)* (377,0.7409113049507141)* (2028,0.7263891696929932) (2268,0.7216153144836426) (1393,0.7186065912246704) (1,0.7185591459274292) (539,0.6895463466644287) (480,0.688271164894104) (1721,0.6749685406684875) (2797,0.6726889610290527) (3114,0.666070282459259) (380,0.6466401815414429) (3256,0.6459481716156006) (3408,0.6402314305305481) (2501,0.6352388262748718) (597,0.6327818632125854)*
1200: (2706,0.8196291923522949) (2959,0.7924200892448425) (2707,0.7409051060676575) (2710,0.739517867565155) (1127,0.7370666265487671) (2683,0.733890950679779) (3160,0.7156779170036316) (2858,0.7074635028839111) (2688,0.7056002616882324) (3005,0.6927697658538818) (3578,0.6747758984565735) (3081,0.6672813296318054) (2580,0.6521138548851013) (223,0.6318638324737549) (3176,0.6194669008255005) (2433,0.5996755361557007) (2336,0.5908486247062683) (3300,0.5853408575057983) (3510,0.5805345773696899) (2908,0.5741955637931824)
1201: (223,1.3087574243545532) (2694,1.052795648574829) (2716,1.0300053358078003) (2599,1.0256788730621338) (2396,0.9917156100273132) (2770,0.9216083884239197) (3174,0.8874092102050781) (2987,0.8645572662353516) (3081,0.8427188396453857) (2541,0.8396075963973999) (2571,0.8037078976631165) (2710,0.7993142604827881) (3623,0.7876529693603516) (2763,0.7765071392059326) (1093,0.756660521030426) (1210,0.7535185217857361) (2605,0.7385976314544678) (2692,0.7352091670036316) (3160,0.7316232919692993) (2336,0.7310709953308105)
1202: (1584,0.9389151334762573)* (1580,0.8237787485122681)* (2916,0.8098734617233276) (593,0.7863597869873047) (1374,0.7563625574111938)* (1610,0.7546080350875854)* (1234,0.748112678527832)* (2396,0.7405111193656921) (924,0.7163581848144531)* (1396,0.7077460289001465) (3147,0.7063525915145874)* (1036,0.7011302709579468)* (2359,0.6948410272598267) (110,0.6798965334892273) (1231,0.6629509329795837)* (2268,0.6525121927261353) (3421,0.6514030694961548)* (1291,0.6469920873641968)* (1193,0.6341928839683533)* (597,0.6274081468582153)*
1203: (3897,1.0462489128112793)* (2997,0.9709610939025879)* (2336,0.9390048384666443)* (2692,0.890379011631012)* (3160,0.8601192831993103)* (2291,0.8349012136459351)* (1704,0.830406129360199)* (1094,0.8137744665145874)* (593,0.7843455672264099)* (3578,0.7810949087142944)* (2571,0.7620419263839722)* (2712,0.7570335865020752)* (2890,0.7243805527687073)* (2396,0.722222626209259)* (1641,0.6935033202171326)* (3148,0.6885345578193665) (337,0.6785273551940918)* (300,0.6618286371231079) (3556,0.6306452751159668) (1680,0.6168709397315979)
1204: (2683,1.449510097503662) (3578,1.2736406326293945)* (2710,1.1151542663574219) (2762,1.1108124256134033)* (1580,0.9907899498939514)* (2770,0.9767452478408813) (2700,0.9614273905754089)* (3510,0.9600253105163574) (3623,0.9494213461875916) (3160,0.9417316913604736) (785,0.9308710694313049)* (968,0.9213776588439941) (3409,0.9102856516838074) (2571,0.9090855121612549) (1210,0.9075210690498352) (2541,0.8936238288879395) (3005,0.8870471715927124) (2502,0.8394442200660706) (2580,0.8374016284942627) (2688,0.8334289789199829)
1205: (17,0.9760839343070984) (2396,0.8110787272453308)* (357,0.6938588619232178)* (150,0.6776756048202515) (265,0.6718184947967529) (1271,0.6489813327789307) (497,0.6400420069694519) (2324,0.6376975178718567) (1183,0.6023536324501038)* (1094,0.6004396677017212) (1643,0.5994414687156677) (1188,0.5986232161521912) (1784,0.596653938293457) (339,0.5954259634017944)* (39,0.5903621912002563) (314,0.5865225195884705) (1680,0.5803102254867554)* (3176,0.5704938173294067) (2333,0.5603417754173279) (3255,0.5328373908996582)
1206: (541,1.5108102560043335) (1214,1.4087523221969604)* (1374,1.4048680067062378) (1356,1.3866353034973145)* (2288,1.2018983364105225)* (3175,1.1653482913970947)* (1748,1.1615363359451294) (3527,1.1518781185150146)* (2662,1.1424297094345093) (1527,1.095977783203125) (3702,1.0897098779678345)* (1676,1.0752859115600586) (1584,1.0672228336334229) (2105,1.0531636476516724) (3471,1.0226244926452637) (480,1.0207984447479248) (610,1.0132266283035278)* (968,0.9696733951568604) (2985,0.9615463018417358)* (1371,0.912973165512085)
1207: (1,0.9066900610923767)* (364,0.8989346027374268) (260,0.8701720833778381)* (589,0.810330867767334) (2028,0.7897657155990601) (2571,0.7653665542602539) (1198,0.7422558665275574) (590,0.7394668459892273) (1580,0.7177067399024963)* (2762,0.715139627456665)* (1270,0.7129225134849548) (1291,0.7002137899398804) (1097,0.6707874536514282) (318,0.6609028577804565) (3578,0.6459794044494629) (1028,0.641554594039917) (2858,0.6222850680351257) (1240,0.6107311844825745)* (2078,0.6052412986755371) (1259,0.6052267551422119)
1208: (3911,1.4770069122314453) (3952,1.1763683557510376) (3535,1.1147176027297974)* (1249,1.081912636756897)* (3949,1.077228307723999) (3910,1.0086910724639893)* (3409,1.0028717517852783) (2160,1.0021928548812866)* (3948,0.9738451242446899)* (3510,0.9706884026527405) (3751,0.9111108779907227) (3753,0.9045518040657043) (3932,0.8888117671012878) (3173,0.8817183971405029) (3916,0.879930317401886) (3555,0.8600773811340332) (144,0.8267241716384888) (3929,0.8166260123252869) (3300,0.8092858195304871) (1259,0.8043277263641357)
1209: (1270,0.8930987119674683)* (1240,0.8361548781394958)* (2000,0.8108335733413696) (1200,0.7922362089157104) (2716,0.7826587557792664) (2918,0.7756121158599854)* (1374,0.7517725825309753) (541,0.7488924264907837) (1307,0.7303719520568848) (3421,0.7108026742935181)* (1225,0.7034839391708374) (1220,0.693358838558197) (1663,0.6902399659156799) (3552,0.6797623634338379) (2194,0.6704494953155518) (1073,0.6696954965591431) (3671,0.6684508323669434) (924,0.6657260060310364) (2174,0.6533294916152954) (1394,0.6530683636665344)
1210: (2571,1.0433703660964966) (1240,0.990203857421875)* (1210,0.930625319480896) (1200,0.8366011381149292) (2916,0.7664413452148438) (541,0.7606542706489563) (480,0.7502937316894531)* (110,0.738170325756073) (1036,0.7310007810592651) (1291,0.7100796103477478) (1580,0.7008664608001709) (1374,0.6912839412689209) (2028,0.6879152059555054) (457,0.6787490844726562) (1270,0.6543223857879639) (3793,0.6534233093261719) (3702,0.6393980979919434) (3527,0.600339949131012) (2628,0.5974212884902954) (1356,0.5931302905082703)
1211: (608,0.9345835447311401)* (923,0.872610330581665)* (778,0.7850562334060669) (1214,0.77144455909729)* (1247,0.7476271390914917) (223,0.7100247144699097) (2908,0.7090069055557251) (922,0.689644992351532) (2318,0.6880881786346436) (3730,0.6851680278778076) (1673,0.6648786067962646) (235,0.6643542051315308) (1260,0.6612120270729065) (1921,0.6599226593971252) (2064,0.6587340831756592) (2542,0.657437801361084) (1358,0.6515634059906006)* (246,0.6445549726486206) (2580,0.6435843110084534) (912,0.6411632299423218)
1212: (50,1.0282431840896606)* (1213,0.9535114765167236)* (1912,0.6703199148178101) (293,0.6040207147598267) (1625,0.5787683129310608) (555,0.5760738849639893) (593,0.5681108236312866) (3160,0.5596379041671753) (3476,0.5557861328125) (3176,0.5434252619743347) (1673,0.5372301936149597) (2542,0.5364001989364624) (2762,0.531509518623352) (70,0.5264278054237366)* (1219,0.5238214731216431) (1732,0.5134849548339844) (1748,0.5107800364494324) (1358,0.5082342624664307) (1997,0.5020241737365723) (1343,0.5013507604598999)
1213: (908,0.37257498502731323)* (2858,0.35898053646087646) (3510,0.3571490943431854) (2396,0.3224889636039734) (3481,0.3075370788574219) (3753,0.3040069341659546) (3555,0.298214852809906) (3897,0.29083433747291565) (3408,0.28626394271850586) (923,0.2854408025741577) (3578,0.2842128574848175) (1250,0.2633894681930542) (480,0.2633620500564575) (608,0.2618333399295807) (3755,0.2600365877151489) (969,0.25025588274002075)* (913,0.24716931581497192) (3751,0.24687880277633667) (951,0.24573157727718353) (1945,0.24570360779762268)
1214: (1304,0.47587862610816956) (1201,0.4203410744667053) (2921,0.3901556730270386) (913,0.38462793827056885) (969,0.38456493616104126) (2951,0.37395191192626953) (1214,0.36732959747314453) (1198,0.3646014928817749) (3494,0.3637024462223053) (3681,0.3535385727882385) (1262,0.351971298456192) (1387,0.35190320014953613) (3421,0.3516698181629181) (1266,0.3486444056034088) (2716,0.3445669412612915) (1294,0.34368062019348145) (1234,0.3435570001602173) (1278,0.3381592929363251) (1283,0.3363560140132904)* (590,0.336028516292572)
1215: (2571,1.4134461879730225)* (541,1.3666096925735474) (260,1.2471141815185547)* (1240,1.2364628314971924)* (1356,1.2320685386657715) (750,1.1567130088806152)* (1199,1.0943524837493896)* (2916,1.0890471935272217) (2968,1.0398781299591064)* (1127,1.0339560508728027) (1270,0.9815372228622437)* (3527,0.9715794920921326) (3793,0.9438735246658325)* (2628,0.9113237857818604) (316,0.8899155855178833) (2288,0.8691686987876892) (780,0.8689067363739014) (329,0.8544005155563354) (2393,0.8543292880058289) (2311,0.8479104042053223)
1216: (1304,1.018021583557129) (1214,0.9701759219169617) (1387,0.8805258870124817) (2948,0.8382877111434937) (1206,0.8188612461090088) (2949,0.8036418557167053) (3508,0.8008940815925598) (3654,0.7915053367614746) (1204,0.7296880483627319) (3421,0.7052625417709351)* (3435,0.696632444858551) (3703,0.6938670873641968) (1200,0.6860585808753967) (2019,0.6853461265563965) (3836,0.6837325096130371) (3363,0.6814879179000854) (1222,0.6741501092910767)* (3062,0.6741137504577637) (913,0.6672917604446411) (1248,0.6638113260269165)
1217: (2858,1.0224063396453857)* (1196,0.954347550868988) (1198,0.9532409906387329)* (589,0.908732533454895) (2028,0.8458263874053955) (1210,0.841990053653717) (480,0.7824478149414062) (3753,0.7622867822647095) (1214,0.7496092319488525) (908,0.7189104557037354) (1259,0.7158215045928955) (2396,0.6906672120094299) (3793,0.6895318031311035) (1291,0.6766555905342102) (1200,0.6659365892410278) (1148,0.6618269085884094) (2791,0.6599345803260803) (2948,0.6508521437644958) (1387,0.6446070075035095) (3114,0.6426814198493958)
1218: (2336,0.7944456338882446) (593,0.7582343816757202)* (1233,0.6546310186386108) (2686,0.6503655314445496)* (912,0.5976932048797607) (3006,0.5957272052764893) (1358,0.590563178062439) (2070,0.5883884429931641) (2333,0.5869210958480835) (2433,0.5789382457733154) (908,0.5732975602149963) (3578,0.5601861476898193) (50,0.5460910797119141) (1299,0.5358443260192871) (1213,0.5246113538742065) (2712,0.5136654376983643) (265,0.5054540634155273)* (2067,0.49977055191993713) (3753,0.4887726306915283) (590,0.48510122299194336)
1219: (2571,1.030646800994873)* (589,0.9907463788986206)* (1573,0.9328588843345642) (2353,0.9092018604278564) (2916,0.8905981183052063)* (1527,0.8853321075439453)* (3256,0.8507647514343262)* (6,0.8394985198974609) (3793,0.838192343711853)* (1610,0.8306655287742615)* (1552,0.8255385160446167) (1580,0.8109508156776428)* (1608,0.8068983554840088) (1036,0.8010298609733582) (3555,0.7959283590316772) (377,0.7934926152229309)* (648,0.7835172414779663) (10,0.7832815647125244) (3623,0.770289421081543) (1918,0.7596856355667114)
1220: (3753,0.8771198987960815)* (2694,0.833579421043396)* (1485,0.7795834541320801) (733,0.724805474281311)* (380,0.7207697629928589) (500,0.7088766098022461) (2683,0.6890195608139038) (2002,0.6832740306854248) (2724,0.6609199643135071) (1917,0.6608269214630127) (2628,0.6565907001495361) (344,0.6500178575515747) (231,0.6391128301620483) (1552,0.6103075742721558) (1722,0.59566330909729)* (2273,0.5907045602798462) (2424,0.590471625328064) (2335,0.5884023904800415) (3082,0.5877887010574341) (165,0.5854312181472778)
1221: (1372,0.8970059752464294) (316,0.8871766328811646) (2393,0.8312562108039856) (2046,0.7761929631233215)* (1831,0.7695360779762268) (3527,0.7642431855201721) (317,0.7634297013282776) (2407,0.7540891170501709) (2021,0.7455188632011414) (1373,0.742929995059967) (586,0.7403895258903503) (1917,0.7035807371139526) (3450,0.697049617767334) (435,0.6904919743537903)* (344,0.6644940972328186) (2792,0.6445068717002869) (2423,0.6406217217445374) (3489,0.6366589665412903) (2683,0.6311986446380615) (2335,0.6256662607192993)
1222: (318,0.7920610308647156) (1617,0.7732047438621521) (2396,0.7503288984298706) (296,0.7431880235671997) (2571,0.7230901718139648) (589,0.7055734395980835) (2599,0.7049663662910461) (3114,0.6704599261283875) (2706,0.6542648077011108) (1196,0.6432234048843384) (2028,0.6416115760803223) (260,0.6406525373458862) (527,0.619078516960144) (3160,0.6176066398620605) (1580,0.5960016250610352) (3175,0.5957508087158203) (3578,0.5935477018356323) (1259,0.587742805480957) (480,0.5875171422958374) (2716,0.5817338228225708)
1223: (2997,0.7759487628936768) (745,0.7341101169586182)* (3751,0.7256386876106262) (2395,0.7080633640289307) (3897,0.6943964958190918) (2804,0.6778148412704468) (951,0.67775559425354)* (903,0.671622633934021) (910,0.6660540699958801) (3435,0.6619771718978882) (904,0.659516453742981)* (1223,0.6541432738304138) (50,0.6496049165725708) (3114,0.6379648447036743) (1212,0.619627058506012) (1617,0.6010104417800903) (3911,0.599197268486023)* (551,0.5943468809127808) (3421,0.5891556143760681) (1265,0.5828538537025452)
1224: (930,0.8996033668518066)* (951,0.8671417236328125) (1212,0.8354943990707397)* (913,0.8339860439300537) (3307,0.8221643567085266)* (1252,0.7817049622535706) (1284,0.7808740139007568) (928,0.7636561393737793) (942,0.7484076619148254) (926,0.743148922920227) (1296,0.7334544062614441) (910,0.7182633876800537) (3334,0.7084639072418213) (955,0.6964566707611084) (2070,0.6906225681304932)* (1952,0.688361406326294) (916,0.6746722459793091) (3543,0.6735430359840393) (1172,0.6713588833808899) (945,0.664851188659668)
1225: (296,0.720045268535614)* (593,0.6301266551017761) (50,0.6286035180091858) (318,0.6062736511230469) (1221,0.598227858543396) (2028,0.5633082389831543) (1089,0.533633291721344) (110,0.48470020294189453) (1704,0.47523370385169983) (47,0.44501885771751404) (2997,0.44386839866638184) (1193,0.43818745017051697)* (1259,0.4238012433052063) (111,0.41775277256965637) (1358,0.413333922624588) (2599,0.40959781408309937) (2762,0.4030984938144684) (356,0.4022899270057678) (1673,0.396827757358551) (34,0.38822874426841736)
1226: (3897,0.9645013809204102) (3911,0.7977989315986633) (3949,0.6734864115715027)* (3952,0.6486138105392456) (3481,0.6397249102592468) (3948,0.6297091245651245) (3317,0.5923351049423218) (3160,0.5922626256942749) (3535,0.5037551522254944) (3751,0.4946010112762451) (3916,0.48077258467674255) (3556,0.43411046266555786) (3863,0.4321433901786804) (3624,0.4288092255592346) (3852,0.4065997004508972) (3882,0.3838246166706085) (3951,0.37836137413978577) (3747,0.35194557905197144) (3566,0.351296991109848) (3618,0.348699688911438)
1227: (1041,1.3228074312210083)* (3083,1.2415008544921875)* (1094,1.1413546800613403)* (2333,1.0194389820098877) (1719,0.9601548910140991) (265,0.9257859587669373)* (17,0.9220058917999268) (3176,0.9196975231170654) (2357,0.9104316234588623) (2686,0.9046722650527954) (2599,0.8595635890960693) (3160,0.8572434186935425) (36,0.8546011447906494) (2997,0.8328670859336853) (1635,0.8305341005325317) (213,0.8190739154815674) (1188,0.8163682222366333) (1179,0.7919269800186157)* (2575,0.7915432453155518) (1704,0.7910143733024597)
1228: (2028,1.0888696908950806) (589,1.0040810108184814) (2997,0.8433465957641602)* (110,0.8207232356071472) (32,0.7467640042304993)* (3751,0.7271831631660461) (3006,0.6930457353591919)* (3481,0.691091775894165) (2692,0.6901352405548096)* (1240,0.6887723207473755) (2396,0.6885476112365723) (1089,0.6633701324462891) (1193,0.6551730632781982)* (3897,0.6479572057723999) (47,0.643317461013794) (3147,0.6412413120269775) (858,0.6387695074081421)* (3175,0.6223567724227905) (1214,0.619800329208374)* (377,0.6159317493438721)
1229: (318,0.7401102185249329) (1213,0.5407679080963135) (2762,0.530109703540802) (2028,0.5175337791442871) (296,0.5123869776725769) (1041,0.4850721061229706) (3408,0.484292209148407) (1617,0.47857972979545593) (1358,0.4730050563812256) (2858,0.4722633957862854) (1704,0.4557003974914551) (2908,0.45161172747612) (34,0.43452370166778564)* (3006,0.41920042037963867) (36,0.40653085708618164) (1193,0.40381234884262085) (2336,0.4010113477706909) (265,0.387815922498703) (17,0.3823190927505493) (246,0.3804689347743988)
1230: (3793,1.3492422103881836) (2706,1.182904839515686) (3114,1.1322743892669678) (223,1.1246410608291626)* (2683,1.106782078742981) (1200,1.0729340314865112) (1356,0.9792137742042542)* (1374,0.9758955836296082)* (1197,0.9703142642974854)* (1198,0.9593985080718994)* (3623,0.876071035861969) (1676,0.8702700138092041)* (316,0.8664025068283081)* (3745,0.8635690808296204) (1215,0.8576109409332275)* (2710,0.8318586349487305)* (3300,0.8140894174575806) (2770,0.8094589710235596) (2985,0.8060849905014038)* (1584,0.8010587692260742)*
1231: (593,1.1211495399475098)* (2028,1.1137197017669678) (2762,1.1087993383407593) (2571,1.017085313796997)* (527,1.0135376453399658)* (50,0.9506911039352417) (1213,0.9069763422012329) (589,0.878571093082428)* (1704,0.823220431804657) (1198,0.823068380355835)* (2396,0.8200587034225464) (3147,0.7960983514785767) (457,0.745491623878479) (2599,0.738434910774231)* (32,0.7253670692443848) (3114,0.7130470275878906) (3160,0.7113004326820374) (47,0.7071066498756409)* (223,0.7025977373123169) (34,0.6865744590759277)
1232: (2599,1.0055153369903564)* (608,0.874802827835083)* (296,0.8652994632720947) (1259,0.8262917995452881)* (1136,0.8030374050140381)* (223,0.7792530059814453) (1060,0.7654722929000854)* (1923,0.747734546661377) (1641,0.7473926544189453) (2336,0.7245420217514038)* (527,0.7192087173461914) (1213,0.714532732963562) (50,0.7123060822486877) (1673,0.6972105503082275)* (2289,0.6954427361488342) (1148,0.6904287934303284) (3114,0.6595935821533203) (1500,0.6541213989257812)* (1,0.6481695771217346) (1358,0.6400305032730103)
1233: (1214,1.117517113685608)* (260,0.9077200889587402)* (1196,0.8527965545654297)* (1206,0.751085102558136) (750,0.7275364398956299) (1270,0.7078639268875122) (2529,0.6350548267364502) (480,0.6267802715301514) (1301,0.6108229160308838) (2662,0.5977606177330017) (3702,0.596279501914978) (1374,0.5935847163200378) (2968,0.5789554119110107) (1036,0.565967321395874) (3527,0.5616322159767151) (1198,0.5556386709213257) (2664,0.5493459105491638) (3703,0.5437633991241455) (2021,0.5374760627746582) (2288,0.528659462928772)
1234: (1617,0.7486560344696045) (1240,0.7433062791824341) (541,0.742404580116272) (858,0.7366883158683777) (2571,0.7290744185447693) (1214,0.7134727239608765) (908,0.6968911290168762) (480,0.6935140490531921) (3578,0.6756092309951782) (1200,0.6607004404067993) (1221,0.6357510685920715) (3160,0.6105798482894897) (3793,0.6102121472358704) (2997,0.5994268655776978) (1284,0.5952113270759583) (1580,0.5806945562362671) (110,0.5703364610671997) (2987,0.5630512237548828) (1197,0.560893177986145) (912,0.5493810176849365)
1235: (593,0.7137121558189392) (1213,0.6106268167495728) (1358,0.6036964654922485) (50,0.5976279377937317) (3147,0.5717039704322815) (2268,0.549751877784729) (150,0.546251118183136) (1617,0.530371904373169) (2858,0.525807797908783) (3100,0.5244683623313904) (47,0.5196077227592468) (36,0.5192846059799194) (25,0.5065186619758606) (3252,0.5010188817977905) (356,0.49711424112319946) (2762,0.49290966987609863) (17,0.49064815044403076)* (2028,0.4874539077281952) (3408,0.48602741956710815) (1784,0.4811010956764221)
1237: (1036,0.43253639340400696) (1387,0.4072319269180298) (589,0.38749945163726807) (1291,0.38619524240493774) (2706,0.3735570013523102) (733,0.37224167585372925) (1370,0.3613802194595337) (1573,0.35656777024269104) (1198,0.3563457429409027) (47,0.3558766841888428) (1608,0.35471078753471375) (1259,0.34755605459213257) (3499,0.34716761112213135)* (1101,0.3435227870941162) (3421,0.34097740054130554)* (1240,0.33837229013442993) (2000,0.33724167943000793) (1968,0.3317076861858368) (1982,0.32964712381362915) (457,0.32948723435401917)
1238: (2858,1.0821330547332764) (2396,0.9272350072860718) (3176,0.8988656997680664) (2599,0.8987503051757812)* (2762,0.8723095655441284) (2355,0.8614226579666138) (2706,0.8351656794548035) (2433,0.8005617260932922) (2683,0.7830382585525513) (2959,0.7534701824188232) (1959,0.747331440448761) (223,0.7295809984207153) (2712,0.7284829616546631)* (2770,0.7196203470230103) (3578,0.7176884412765503) (2987,0.704285204410553) (2688,0.7019916772842407) (3114,0.6918074488639832) (2686,0.6811830997467041) (2580,0.6738726496696472)
1239: (1704,1.0057066679000854)* (608,0.9963365197181702)* (50,0.9468220472335815) (2396,0.9079039692878723) (296,0.8476731181144714)* (150,0.8401220440864563) (1213,0.7904975414276123)* (2599,0.7566880583763123) (3408,0.7516277432441711) (3006,0.696429431438446) (2501,0.6846805810928345) (3147,0.673513650894165) (2336,0.6671043634414673) (110,0.6512027978897095) (1923,0.637069582939148) (3897,0.6361194849014282) (3751,0.6350997686386108) (2908,0.6338907480239868) (2571,0.6285619139671326) (47,0.6179356575012207)
1240: (3408,1.0180573463439941) (3510,0.9471981525421143) (3555,0.8809651136398315) (3916,0.8083008527755737) (3948,0.7825590968132019) (3624,0.7614311575889587) (3793,0.7493796944618225) (3755,0.7422585487365723) (3952,0.731856644153595) (3911,0.7303061485290527) (3512,0.7184929847717285) (3751,0.6820583343505859) (3409,0.6672970652580261) (3893,0.6648945808410645) (3785,0.6478607654571533) (3623,0.6361918449401855)* (3160,0.6186313629150391) (3513,0.6010292172431946) (3534,0.586496114730835) (2858,0.5859547853469849)
1241: (3897,1.6150540113449097)* (3555,1.3487868309020996) (3409,1.1601117849349976) (3114,1.117335557937622)* (3298,1.0945405960083008) (2355,1.0463584661483765) (2706,1.0317838191986084) (223,0.981277585029602) (3176,0.9293880462646484) (3798,0.9250149726867676) (3745,0.8977333307266235) (2502,0.871537446975708) (2683,0.858362078666687) (3534,0.8468103408813477)* (1923,0.8453103303909302) (3052,0.8355785608291626)* (3556,0.8322746753692627) (3147,0.8315465450286865) (3565,0.817197322845459) (2572,0.8036225438117981)
1242: (1734,0.8884526491165161) (1041,0.7537572979927063) (247,0.7398847341537476) (1649,0.7179474830627441)* (1176,0.7037794589996338) (1719,0.6911627054214478) (17,0.6896933317184448) (1354,0.6857144832611084) (2360,0.6845961213111877) (1280,0.6656221747398376) (446,0.6597204804420471) (28,0.6591342091560364) (581,0.6508920192718506) (232,0.643925666809082)* (3915,0.6423763036727905) (3357,0.6407211422920227) (3747,0.640501081943512)* (3556,0.6400470733642578) (2624,0.634297251701355) (562,0.6320883631706238)*
1243: (2997,0.9682856798171997)* (2858,0.955263078212738)* (3481,0.9020402431488037) (541,0.8816426992416382) (3471,0.8632240295410156)* (1200,0.8520834445953369) (2791,0.8197038173675537) (3175,0.8178365230560303) (2599,0.8068788051605225)* (1199,0.7675058841705322)* (1193,0.7504478693008423)* (3114,0.7409218549728394) (608,0.6983035802841187) (1278,0.6967171430587769)* (1259,0.6897404193878174) (1394,0.6627079844474792) (1198,0.6625771522521973) (2529,0.6598227620124817)* (1292,0.6537039279937744) (2355,0.6439778804779053)
1244: (2395,0.8578097820281982)* (3911,0.8539547324180603) (3952,0.8477280139923096) (3793,0.7950153350830078)* (2028,0.7666614055633545) (3006,0.764919102191925) (2908,0.7335660457611084) (110,0.7332817316055298)* (1036,0.7171443700790405)* (1580,0.7005839347839355) (296,0.6895560622215271) (2959,0.6870387196540833) (3555,0.6643251180648804) (377,0.6567429304122925) (3948,0.6558181047439575) (608,0.655335545539856) (3176,0.6545904874801636) (2291,0.6466478109359741) (1466,0.6446214914321899)* (2571,0.6417407393455505)*
1245: (1214,1.3483206033706665)* (1200,1.2871439456939697)* (260,1.2682512998580933)* (1210,1.050776720046997)* (1374,1.020626425743103)* (1270,0.9557561874389648) (2916,0.9257080554962158)* (1301,0.8767459988594055) (3527,0.8724267482757568)* (1653,0.8242493271827698) (1127,0.8019664287567139) (1580,0.7966378927230835) (1527,0.7903702855110168) (2021,0.7868127822875977) (480,0.7761693596839905) (1356,0.7590525150299072) (2664,0.755683183670044) (1748,0.7410067319869995) (3175,0.7376744747161865) (1198,0.7265546321868896)
1246: (1196,1.1203287839889526)* (480,1.0987390279769897) (1210,1.0762550830841064)* (1356,1.0760221481323242)* (780,0.9855191707611084) (3578,0.9799150824546814) (1374,0.9593667984008789)* (1214,0.942410945892334)* (3624,0.9250727891921997)* (1573,0.9137381315231323) (2193,0.9128861427307129)* (1676,0.9084181785583496)* (3527,0.8959733843803406)* (2355,0.8906291723251343) (2968,0.8811571598052979) (356,0.8535754084587097)* (1909,0.8503718376159668) (223,0.8455592393875122) (112,0.8385510444641113) (2762,0.8194984793663025)
1247: (3753,0.7277125120162964)* (3755,0.5509682297706604) (3510,0.5385406613349915) (3623,0.5359470248222351) (3793,0.48436248302459717)* (3916,0.48061245679855347) (3408,0.47361326217651367) (3435,0.44055813550949097) (908,0.4391729235649109) (3932,0.43769600987434387) (2948,0.43676576018333435) (3513,0.41743385791778564) (3334,0.41063013672828674)* (969,0.4100676476955414) (1269,0.40112626552581787) (2454,0.38120216131210327) (942,0.3771212100982666) (3409,0.3730795979499817) (2664,0.36873698234558105) (3798,0.36794543266296387)
1248: (1617,1.0304195880889893)* (3897,0.8321295976638794) (2858,0.8076049089431763) (3481,0.7680602073669434) (318,0.7142325043678284) (3160,0.6942529082298279) (2997,0.6831942200660706) (2599,0.6754283308982849) (47,0.6179304122924805) (858,0.6120162010192871) (527,0.6074815988540649) (1358,0.59482741355896) (1252,0.5924687385559082) (1221,0.5894460678100586) (1673,0.5793224573135376) (1148,0.5549708604812622) (2692,0.5476810336112976) (903,0.5411431789398193) (1249,0.5376874208450317) (111,0.5255287885665894)
1250: (3481,0.7143433094024658) (3952,0.6132293939590454) (3408,0.5633746981620789) (2997,0.5465362071990967)* (3949,0.5301204919815063) (1617,0.5264068841934204) (3317,0.5210170745849609) (3948,0.5044749975204468) (1673,0.48954397439956665) (2599,0.483654260635376) (608,0.4779447913169861) (1252,0.47277334332466125) (3176,0.47079944610595703) (3510,0.4592578709125519) (3535,0.4539146423339844) (2908,0.44312968850135803) (3578,0.4340556859970093) (908,0.430666446685791) (2160,0.4232751727104187) (3751,0.4140833914279938)
